"External ID","Category Name"
"__export__.pos_category_13_84657ef6","Bajaj"
"pos_category.2w","2W"
"pos_category.3w","3W"
"pos_category.qute","QUTE"
"__export__.pos_category_9_9b467734","Third Party"
"__export__.pos_category_11_9f8532a8","Yellow Label"
"__export__.pos_category_10_919622a7","SA"
"__export__.pos_category_12_af2fc6fb","NACHi"
