Display Name                              ,# Products,Child Categories                                 ,Complete Name                             ,Costing Method,Created by   ,Created on         ,Expense Account,External ID                             ,Force Removal Strategy,Income Account      ,Inventory Valuation,Last Modified on   ,Last Updated by,Last Updated on    ,Name         ,Parent Category               ,Parent Path   ,Putaway Rules,Routes,Stock Input Account            ,Stock Journal      ,Stock Output Account            ,Stock Valuation Account,Total routes
                                          ,          ,All / Saleable / PoS / Balancer                  ,                                          ,              ,             ,                   ,               ,                                        ,                      ,                    ,                   ,                   ,               ,                   ,             ,                              ,              ,             ,      ,                               ,                   ,                                ,                       ,            
                                          ,          ,All / Saleable / PoS / BallJoint                 ,                                          ,              ,             ,                   ,               ,                                        ,                      ,                    ,                   ,                   ,               ,                   ,             ,                              ,              ,             ,      ,                               ,                   ,                                ,                       ,            
                                          ,          ,All / Saleable / PoS / Band                      ,                                          ,              ,             ,                   ,               ,                                        ,                      ,                    ,                   ,                   ,               ,                   ,             ,                              ,              ,             ,      ,                               ,                   ,                                ,                       ,            
                                          ,          ,All / Saleable / PoS / BarExtension              ,                                          ,              ,             ,                   ,               ,                                        ,                      ,                    ,                   ,                   ,               ,                   ,             ,                              ,              ,             ,      ,                               ,                   ,                                ,                       ,            
                                          ,          ,All / Saleable / PoS / Basket                    ,                                          ,              ,             ,                   ,               ,                                        ,                      ,                    ,                   ,                   ,               ,                   ,             ,                              ,              ,             ,      ,                               ,                   ,                                ,                       ,            
                                          ,          ,All / Saleable / PoS / Battery                   ,                                          ,              ,             ,                   ,               ,                                        ,                      ,                    ,                   ,                   ,               ,                   ,             ,                              ,              ,             ,      ,                               ,                   ,                                ,                       ,            
                                          ,          ,All / Saleable / PoS / Beading                   ,                                          ,              ,             ,                   ,               ,                                        ,                      ,                    ,                   ,                   ,               ,                   ,             ,                              ,              ,             ,      ,                               ,                   ,                                ,                       ,            
                                          ,          ,All / Saleable / PoS / Bearing                   ,                                          ,              ,             ,                   ,               ,                                        ,                      ,                    ,                   ,                   ,               ,                   ,             ,                              ,              ,             ,      ,                               ,                   ,                                ,                       ,            
                                          ,          ,All / Saleable / PoS / Bellow                    ,                                          ,              ,             ,                   ,               ,                                        ,                      ,                    ,                   ,                   ,               ,                   ,             ,                              ,              ,             ,      ,                               ,                   ,                                ,                       ,            
                                          ,          ,All / Saleable / PoS / Belt                      ,                                          ,              ,             ,                   ,               ,                                        ,                      ,                    ,                   ,                   ,               ,                   ,             ,                              ,              ,             ,      ,                               ,                   ,                                ,                       ,            
