Part Number,Quantity,Unit Price,Notes
36102401,8,790,
JV511012,27,900,
JD511010,36,600,
24181046,19,530,
AA111085,23,1450,
BA132110,18,90,
AB151069,4,490,
AB151072,1,610,
AP111023,28,350,
BA201033,8,290,
24201421,21,670,
AB201077,3,930,
AB201075,4,310,
AL201031,1,910,
DJ191057,29,820,
DG191012,1,890,
DJ191083,16,640,
DJ191055,27,750,
DD191141,8,720,
GF191019,1,490,
30191023,2,470,
DK101573,4,490,
DH101484,8,440,
JL113027,3,460,
31101006,2,220,
31101137,17,290,
JH541217,1,300,
JE551405,9,500,
52DH0177,4,1110,
AA101474,2,120,
JA551405,1,420,
DK101338,2,410,
DH101142,3,750,
56DJ4E1Y,2,400,
DH121167,1,760,
30161157,15,220,
JA113201,7,240,
DX101035,2,420,
DS161112,4,280,
DD111048,33,440,
DD111011,22,130,
DH111016,20,130,
DH111015,26,470,
JB402202,14,80,
DH111013,17,120,
JD561417,17,110,
DK111011,5,350,
DJ151072,3,410,
JF351212,2,210,
AA111148,3,90,
AN101258,24,170,
JD232805,6,30,
DJ151073,39,130,
AA101564,62,560,
36DJ4104,20,490,
36DH4177,4,510,
DK151088,3,1230,
DJ151075,2,2800,
36DK0070,1,890,
DH101557,86,310,
36DD4008,52,1630,
DJ151088,1,1200,
36DH4025,20,2290,
DK141013,1,1010,
DD161107,2,940,
DD141024,2,3010,
DU141061,2,2040,
DH141048,3,510,
24181032,2,690,
BB201030,5,640,
36244044,1,580,
JN351604,19,1870,
DK201078,11,1850,
AP201029,25,1150,
AF201001,10,860,
DK201016,3,1270,
JZ401013,3,1820,
AL201024,6,400,
JL402005,2,2450,
JL511029,2,350,
JL601237,1,1470,
JY551402,8,7710,
JG621413,3,3660,
JY571015,1,910,
36DU1205,36,930,
JA581221,53,710,
36JZ0016,13,340,
JN581207,18,580,
AA201313,4,4590,
AA201194,2,2380,
AA201272,1,3300,
AA201278,1,3570,
24121118,16,5790,
AA121280,1,10240,
AA121208,1,10410,
AA121097,1,10310,
AA131036,6,1820,
DH121097,1,15650,
DU121009,1,9290,
AN131023,31,1830,
AA131063,30,1970,
AN101116,6,1680,
JA541011,15,380,
39100820,16,320,
03100621,14,180,
JG541015,5,440,
39199020,10,250,
AP101243,7,260,
24171014,50,90,
39043501,50,40,
39011904,143,40,
AB171016,39,360,
24171049,26,200,
AB171040,1,130,
AA171022,6,310,
AA171006,1,490,
AB101067,40,1300,
35101059,3,1990,
06101056,4,1620,
AA121105,3,390,
JA581223,14,550,
24121076,18,100,
AE121007,12,130,
24121077,16,140,
36222256,59,260,
AA101143,51,100,
CD101102,4,130,
AA121104,13,140,
