"Internal Reference","Name","Description","Barcode","Product Category/ID","Point of Sale Category/ID","Product Type","Cost","Sales Price","Available in POS","Can be Purchased","Can be Sold"
"JG351019","Body Starter Clutch","Body Starter Clutch","JG351019","point_of_sale.00354","pos_category.2w","Storable Product","3050.0","3050.0","True","True","True"
"JN551407","Body Starter Counter (Discover Black)","Body Starter Counter (Discover Black)","JN551407","point_of_sale.00127","pos_category.2w","Storable Product","745.0","745.0","True","True","True"
"DU101103","Body-Centrifugal Oil Filter In Grey","Body-Centrifugal Oil Filter In Grey","DU101103","point_of_sale.00257","pos_category.2w","Storable Product","1770.0","1770.0","True","True","True"
"DF161102","Bolt","Bolt","DF161102","point_of_sale.00034","pos_category.2w","Storable Product","150.0","150.0","True","True","True"
"03100718","Bolt","Bolt","03100718","point_of_sale.00034","pos_category.3w","Storable Product","50.0","50.0","True","True","True"
"DG161144","Bolt","Bolt","DG161144","point_of_sale.00034","pos_category.2w","Storable Product","20.0","20.0","True","True","True"
"DD101349","Bolt","Bolt","DD101349","point_of_sale.00251","pos_category.2w","Storable Product","450.0","450.0","True","True","True"
"DG161129","Bolt","Bolt","DG161129","point_of_sale.00001","pos_category.2w","Storable Product","90.0","90.0","True","True","True"
"DI3W038","Bolt","Bolt","DI3W038","point_of_sale.00421","pos_category.3w","Storable Product","350.0","350.0","True","True","True"
"DI3W039","Bolt","Bolt","DI3W039","point_of_sale.00421","pos_category.3w","Storable Product","10.0","10.0","True","True","True"
"01160509","Bolt","Bolt","01160509","point_of_sale.00034","pos_category.3w","Storable Product","15.0","15.0","True","True","True"
"39000801","Bolt","Bolt","39000801","point_of_sale.00034","pos_category.3w","Storable Product","10.0","10.0","True","True","True"
"39006204","Bolt","Bolt","39006204","point_of_sale.00034","pos_category.3w","Storable Product","20.0","20.0","True","True","True"
"01150112","Bolt","Bolt","01150112","point_of_sale.00034","pos_category.3w","Storable Product","35.0","35.0","True","True","True"
"AA191067","Bolt","Bolt","AA191067","point_of_sale.00034","pos_category.3w","Storable Product","40.0","40.0","True","True","True"
"DG151049","Bolt","Bolt","DG151049","point_of_sale.00034","pos_category.2w","Storable Product","105.0","105.0","True","True","True"
"39137704","Bolt","Bolt","39137704","point_of_sale.00034","pos_category.3w","Storable Product","130.0","130.0","True","True","True"
"DK101284","Bolt","Bolt","DK101284","point_of_sale.00034","pos_category.2w","Storable Product","50.0","50.0","True","True","True"
"01140116","Bolt","Bolt","01140116","point_of_sale.00034","pos_category.3w","Storable Product","25.0","25.0","True","True","True"
"24170507","Bolt","Bolt","24170507","point_of_sale.00034","pos_category.3w","Storable Product","190.0","190.0","True","True","True"
"DD121009","Bolt","Bolt","DD121009","point_of_sale.00034","pos_category.2w","Storable Product","70.0","70.0","True","True","True"
"39038904","Bolt","Bolt","39038904","point_of_sale.00034","pos_category.3w","Storable Product","50.0","50.0","True","True","True"
"DD101347","Bolt","Bolt","DD101347","point_of_sale.00034","pos_category.2w","Storable Product","120.0","120.0","True","True","True"
