"Order Ref","Order Lines/Product/Internal Reference","Order Lines/Quantity"
"","AN101421","1.0"
"","CS101128","1.0"
"Main/0096","AN101123","1.0"
"Main/0095","AE101016K","1.0"
"Shop/0254","AB171044","1.0"
"Main/0094","DS121137","1.0"
"","36DS1004","1.0"
"","DS101319","1.0"
"","39171519","1.0"
"","39218919","1.0"
"Shop/0253","36281008","1.0"
"Main/0093","JG171802","1.0"
"Shop/0252","36JZ0199","1.0"
"","36JZ0198","1.0"
"","JA541212","1.0"
"Main/0092","AL201017","1.0"
"","BG113803","1.0"
"","AA231255","1.0"
"Main/0091","JA541212","1.0"
"","30101096","4.0"
"","36DD4008","1.0"
"Main/0090","36DS1201","1.0"
"Main/0089","36DS1201","1.0"
"Shop/0251","24151097","1.0"
"","AA101471","1.0"
"","AA101473","1.0"
"","36AA4025K","1.0"
"Main/0088","36311028","1.0"
"","39103519","2.0"
"","31101033","1.0"
"","36311006","1.0"
"","36DD4002","1.0"
"","36DU1001","1.0"
"","DM101140","1.0"
"","DM101139","1.0"
"","36DD4008","1.0"
"Shop/0250","DJ121030","1.0"
"Shop/0249","DB111007","1.0"
"","39135519","1.0"
"Main/0087","24151171","2.0"
"","SVA0017","1.0"
"","AA101210","7.0"
"","AA101472","6.0"
"","AA101364","6.0"
"","AA101077","1.0"
"Main/0086","31101033","1.0"
"Shop/0248","JL511010","2.0"
"Main/0085","52AA4035","1.0"
"admin/0003","01100315","1.0"
"admin/0002","01100615","1.0"
"","01100818","1.0"
"","DU191045","1.0"
"","DS101046","1.0"
"admin/0001","01100315","1.0"
"Main/0084","24171094","2.0"
"","AA221005","1.0"
"","AA221006","1.0"
"Main/0083","AA201185","1.0"
"Shop/0247","BH184000","1.0"
"Shop/0246","AA101598","1.0"
"Main/0082","AA101077","1.0"
"","36281008","1.0"
"","AA101622","1.0"
"","39103519","2.0"
"","28101118","1.0"
"","AA101162","1.0"
"","AA101013","1.0"
"","39100006","4.0"
"Shop/0245","DM101140","1.0"
"","DM101139","1.0"
"","36DU1001","1.0"
"","36DD4002","1.0"
"","39103519","2.0"
"","31101033","1.0"
"","36311006","1.0"
"Main/0081","31151060","1.0"
"Shop/0244","31101067","1.0"
"Main/0080","24151171","2.0"
"Main/0079","36DS1201","1.0"
"Main/0078","36DJ4104","1.0"
"Shop/0243","AN101338","1.0"
"","AN101328","1.0"
"","24171014","2.0"
"","AA191084","1.0"
"","DG141019","2.0"
"","36BA4039","1.0"
"","AA102018","1.0"
"","AA191102","1.0"
"Main/0077","JN141002","1.0"
"Shop/0242","JA511028","1.0"
"Main/0076","AA111085","1.0"
"Main/0075","24141071","1.0"
"Shop/0241","24191092","1.0"
"Main/0074","24121066","1.0"
"Main/0073","AB171044","1.0"
"Main/0072","36JE0014","1.0"
"","36DJ4104","1.0"
"Main/0071","24181043","1.0"
"","36BA4039","1.0"
"Main/0070","36AA4018","1.0"
"","AA111085","1.0"
"","AA111082","1.0"
"Main/0069","DJ191081","1.0"
"Shop/0240","DD121181","1.0"
"Main/0068","36DU4085","1.0"
"Shop/0239","PA151014","1.0"
"Shop/0238","AB171044","1.0"
"Main/0067","30151105","1.0"
"","36DD4008","1.0"
"Shop/0237","36311028","1.0"
"","39103519","2.0"
"","36DD4002","1.0"
"Main/0066","DX191001","1.0"
"Shop/0236","39029615","1.0"
"Shop/0235","39137704","1.0"
"Shop/0234","36AA4033","1.0"
"Shop/0233","AN101421","1.0"
"","AP111023","1.0"
"Shop/0232","AA101593","1.0"
"","AN101186","1.0"
"Main/0065","36JE0005","1.0"
"","JG551447","4.0"
"Shop/0231","JZ161207","1.0"
"Shop/0230","JA351609","1.0"
"","JA351610","1.0"
"Main/0064","DU191006","1.0"
"Shop/0229","DL191013","1.0"
"","DU191003","1.0"
"Shop/0228","AP201026","1.0"
"Shop/0227 REFUND","01100316","-1.0"
"Shop/0226 REFUND","01100316","-1.0"
"Shop/0227","01100316","1.0"
"Shop/0226","01100316","1.0"
"Shop/0225","36241010","1.0"
"","36222256","1.0"
"","05101018","1.0"
"","24101056","1.0"
"","24171024","1.0"
"","36224004","1.0"
"","03100338","1.0"
"","22171007","1.0"
"","06101009","1.0"
"","AB101067","1.0"
"","24100308","1.0"
"","AE101070","1.0"
"Shop/0224","36DJ4005","1.0"
"Shop/0223","06191089","2.0"
"Main/0063","DH101188","1.0"
"Main/0062","AZ351001","1.0"
"","AA131024","1.0"
"","AA101628","1.0"
"","28101110","1.0"
"Shop/0222","AA191094","1.0"
"","AA191093","1.0"
"","AA191084","1.0"
"","24151060","1.0"
"","24151059","1.0"
"","24151058","1.0"
"","24191182","1.0"
"","AA191091","1.0"
"","AA191092","1.0"
"","24151059","1.0"
"","24151059","1.0"
"","AA191068","1.0"
"","AA191073","1.0"
"","AA191077","1.0"
"","AF191007","1.0"
"","24151058","1.0"
"","BA191051","1.0"
"Main/0061","AA191092","1.0"
"Shop/0221","AN101123","2.0"
"","36AN0010","3.0"
"","AA111122","2.0"
"","AA111156","2.0"
"","36AB4015","1.0"
"","36BA4039","3.0"
"","24111128","2.0"
"","AA111091","1.0"
"","AA111107","2.0"
"","24160913","2.0"
"","AA111085","3.0"
"","DD111048","5.0"
"","DH111015","5.0"
"","DK201078","3.0"
"","24130209","6.0"
"","AA101750","6.0"
"","31151060","3.0"
"","30151105","3.0"
"","DH171014","10.0"
"","DD101325","3.0"
"","JN351604","2.0"
"","DU191006","2.0"
"","36011001","3.0"
"","39252820","3.0"
"","39143520","2.0"
"","36DJ4005","2.0"
"","36JN0015","2.0"
"Shop/0220","AA191092","1.0"
"Main/0060","DH101154","1.0"
"","DH102210","1.0"
"","DH102211","1.0"
"","36DH4117","1.0"
"","DJ151071","1.0"
"","DJ181087","2.0"
"Main/0059","DH101154","2.0"
"Shop/0219","JE511038","1.0"
"Shop/0218","JB511018","1.0"
"Main/0058","CL201023","2.0"
"Main/0057","31151060","1.0"
"","30161158","1.0"
"","DZ191004","1.0"
"","52DZ0047","1.0"
"","36DU1001","1.0"
"Shop/0217","CD101082","1.0"
"","36241010","1.0"
"","24101050","1.0"
"","24101056","1.0"
