External ID,Product/External ID,Product/Internal Reference,Counted Quantity
__export__.stock_inventory_line_65995_a545faae,__export__.product_product_10924_62e756b1,02140121,0.0
__export__.stock_inventory_line_65996_d7ef7cba,__export__.product_product_10925_e2de3935,02190249,0.0
__export__.stock_inventory_line_65997_5305edde,__export__.product_product_10926_0dc5bba4,03100308,0.0
__export__.stock_inventory_line_65998_4b3ecdc5,__export__.product_product_37561_01143331,03100335,2
__export__.stock_inventory_line_65999_6cd654e3,__export__.product_product_37562_f522a1f2,03100338,60
__export__.stock_inventory_line_66000_dd9ff6d2,__export__.product_product_37563_60d283b1,03100609,0.0
__export__.stock_inventory_line_66001_f28e0b30,__export__.product_product_37564_4d63ae6e,03100619,0.0
__export__.stock_inventory_line_66002_60972a63,__export__.product_product_37565_cfd0d97c,03100620,0.0
__export__.stock_inventory_line_66003_de8b147c,__export__.product_product_37566_0308e93c,03100621,14
__export__.stock_inventory_line_66004_b2fc41d0,__export__.product_product_37567_d84a95e8,03100622,0.0
__export__.stock_inventory_line_66005_177660de,__export__.product_product_10927_be68113a,03100623,0.0
__export__.stock_inventory_line_66006_ca3dd26f,__export__.product_product_37568_f725e96a,03100627,0.0
__export__.stock_inventory_line_66007_7d0cb894,__export__.product_product_37569_27f03bce,03100718,0.0
__export__.stock_inventory_line_66008_3f3d7c0c,__export__.product_product_37570_3c6819a6,03100802,4
__export__.stock_inventory_line_66009_452fe21d,__export__.product_product_37571_68a50c50,03100826,0.0
__export__.stock_inventory_line_66010_a1d4ee0b,__export__.product_product_10928_bcc60053,03100910,0.0
__export__.stock_inventory_line_66011_b7371362,__export__.product_product_10929_398b15f9,03101201,0.0
__export__.stock_inventory_line_66012_041a6f72,__export__.product_product_10930_0082859a,03120208,0.0
__export__.stock_inventory_line_66013_648922a3,__export__.product_product_37572_1ec893f1,03120210,0.0
__export__.stock_inventory_line_66014_5b7bb7b9,__export__.product_product_37573_ea1e5cba,03150207,0.0
__export__.stock_inventory_line_66015_4a0dfdd7,__export__.product_product_37574_6e35d54e,03170109,0.0
__export__.stock_inventory_line_66016_c91b1a6f,__export__.product_product_37575_ba6f96a4,03170121,7
__export__.stock_inventory_line_66017_620616a3,__export__.product_product_10931_71f35f98,03170126,0.0
__export__.stock_inventory_line_66018_29a2e725,__export__.product_product_37576_faba603a,03170127,30
__export__.stock_inventory_line_66019_d9a13bde,__export__.product_product_37577_e04bb65e,03170129,0.0
__export__.stock_inventory_line_66020_5d776c21,__export__.product_product_10932_5b261735,03170351,0.0
__export__.stock_inventory_line_66021_6db69e60,__export__.product_product_37578_a1124015,03180111,0.0
__export__.stock_inventory_line_66022_2caa9c24,__export__.product_product_37579_2408e543,03180114,0.0
__export__.stock_inventory_line_66023_37d02058,__export__.product_product_37580_369cfdda,03180116,0.0
__export__.stock_inventory_line_66024_f90aeafa,__export__.product_product_10933_92a6ea70,03180118,0.0
__export__.stock_inventory_line_66025_1fad7ba5,__export__.product_product_10934_376ca8a3,03180123,0.0
__export__.stock_inventory_line_66026_ce6592ad,__export__.product_product_37581_6be9f979,03190204,0.0
__export__.stock_inventory_line_66027_49f3a2d9,__export__.product_product_37582_548fcc7a,03190206,0.0
__export__.stock_inventory_line_66028_5f1760ad,__export__.product_product_37583_6bf60c40,03190228,0.0
__export__.stock_inventory_line_66029_225296bb,__export__.product_product_10935_374fec01,03200232,0.0
__export__.stock_inventory_line_66030_68cda0b5,__export__.product_product_10936_67938d0b,03220102,0.0
__export__.stock_inventory_line_66031_8022ff2e,__export__.product_product_10937_daf7ce8d,04101027,0.0
__export__.stock_inventory_line_66032_226110fa,__export__.product_product_37584_f5648c75,05101018,59
__export__.stock_inventory_line_66033_482f2685,__export__.product_product_10938_c6033e58,05101040,0.0
__export__.stock_inventory_line_66034_18bbda3e,__export__.product_product_37585_43893af2,05101051,0.0
__export__.stock_inventory_line_66035_c0e18f5d,__export__.product_product_37586_7ca2eff4,05101056,0.0
__export__.stock_inventory_line_66036_df20a39b,__export__.product_product_10939_812c99e5,05101057,0.0
__export__.stock_inventory_line_66037_d93c13ea,__export__.product_product_37587_3c095e5d,05101071,26
__export__.stock_inventory_line_66038_d7b8de2b,__export__.product_product_37588_a8309918,05101072,13
__export__.stock_inventory_line_66039_ac660c06,__export__.product_product_37589_8eecd529,05101083,0.0
__export__.stock_inventory_line_66040_5552f5b3,__export__.product_product_37590_bb5c79d9,05111065,0.0
__export__.stock_inventory_line_66041_27c5562e,__export__.product_product_10940_1027a96d,05111095,0.0
__export__.stock_inventory_line_66042_f72eb13d,__export__.product_product_10941_55fdc012,05111190,0.0
__export__.stock_inventory_line_66043_2053c249,__export__.product_product_37591_8fb75dea,05151012,0.0
__export__.stock_inventory_line_66044_b808c0fe,__export__.product_product_10942_c457da02,05151020,0.0
__export__.stock_inventory_line_66045_1ac2f346,__export__.product_product_37592_d0fdb708,05161256,0.0
__export__.stock_inventory_line_66046_70c5dac5,__export__.product_product_37593_2dc2ef00,05171008,0.0
__export__.stock_inventory_line_66047_23b69b07,__export__.product_product_37594_d73e70dc,05171012,0.0
__export__.stock_inventory_line_66048_7a666a69,__export__.product_product_10943_0994a5e8,05171056,0.0
__export__.stock_inventory_line_66049_f5354bab,__export__.product_product_37595_ffd5327b,05181011,0.0
__export__.stock_inventory_line_66050_7fb98372,__export__.product_product_37596_e1ff72ea,05181016,0.0
__export__.stock_inventory_line_66051_04fb1f19,__export__.product_product_10944_fd5ff32e,05181023,0.0
__export__.stock_inventory_line_66052_b87f1e6d,__export__.product_product_10945_984c0fc8,05181037,0.0
__export__.stock_inventory_line_66053_47719837,__export__.product_product_37597_d13f3f90,05190301,16
__export__.stock_inventory_line_66054_05da64c9,__export__.product_product_37598_0f2b68e0,05190302,21
__export__.stock_inventory_line_66055_3e002364,__export__.product_product_10946_923b43f4,05191001,0.0
__export__.stock_inventory_line_66056_8831b620,__export__.product_product_37599_562a2262,05191005,0.0
__export__.stock_inventory_line_66057_9ac7677b,__export__.product_product_10947_10b163ad,05191024,0.0
__export__.stock_inventory_line_66058_db40a4f6,__export__.product_product_10948_699ea988,05191034,0.0
__export__.stock_inventory_line_66059_80030beb,__export__.product_product_37600_961b2035,05191046,0.0
__export__.stock_inventory_line_66060_be92e9a5,__export__.product_product_10949_f0302bda,05191051,0.0
__export__.stock_inventory_line_66061_69d3147b,__export__.product_product_10950_ff71efd9,05201091,0.0
__export__.stock_inventory_line_66062_dba5c3fe,__export__.product_product_10951_51e19363,05201146,0.0
__export__.stock_inventory_line_66063_dc378de8,__export__.product_product_10952_80b6585d,05201173,0.0
__export__.stock_inventory_line_66064_603753e4,__export__.product_product_10953_b5008e2f,05201194,0.0
__export__.stock_inventory_line_66065_b9206e18,__export__.product_product_37601_35d02871,06100411,0.0
__export__.stock_inventory_line_66066_e3d49197,__export__.product_product_37602_4d8efa5c,06100702,5
__export__.stock_inventory_line_66067_bd76d993,__export__.product_product_37603_f0775ecf,06100706,0.0
__export__.stock_inventory_line_66068_21f306ca,__export__.product_product_10954_0edfdc11,06100708,0.0
__export__.stock_inventory_line_66069_236d6ee8,__export__.product_product_37604_d4a3f479,06101004,0.0
__export__.stock_inventory_line_66070_9b82334e,__export__.product_product_37605_ea84946d,06101007,0.0
__export__.stock_inventory_line_66071_af2f81c6,__export__.product_product_37606_3bcc4937,06101009,55
__export__.stock_inventory_line_66072_dc8bce8f,__export__.product_product_10955_fa3ea3b5,06101049,0.0
__export__.stock_inventory_line_66073_ef00f6b7,__export__.product_product_37607_fe2ed26c,06101056,4
__export__.stock_inventory_line_66074_7fdfa3c3,__export__.product_product_37608_de737ee3,06101058,0.0
__export__.stock_inventory_line_66075_a7a5ffa0,__export__.product_product_10956_eabc3142,06101098,0.0
__export__.stock_inventory_line_66076_364f1ea3,__export__.product_product_10957_c6e66305,06101099,0.0
__export__.stock_inventory_line_66077_4089c46b,__export__.product_product_10958_686fc903,06101112,0.0
__export__.stock_inventory_line_66078_9611559e,__export__.product_product_37609_f90a0b7a,06101213,1
__export__.stock_inventory_line_66079_e5a64b82,__export__.product_product_37610_59279472,06101218,0.0
__export__.stock_inventory_line_66080_c60dbb9b,__export__.product_product_37611_9c5818bd,06101252,53
__export__.stock_inventory_line_66081_ae306bd7,__export__.product_product_37612_0290cff6,06101254,1
__export__.stock_inventory_line_66082_44778e4f,__export__.product_product_10959_accea840,06111026,0.0
__export__.stock_inventory_line_66083_a80dd4e4,__export__.product_product_10960_b6b456a9,06111034,0.0
__export__.stock_inventory_line_66084_8ca5c7f6,__export__.product_product_10961_88c82f91,06111085,0.0
__export__.stock_inventory_line_66085_b716514e,__export__.product_product_10962_29465af9,06111179,0.0
