දිනය,ගෙවීම් ක්‍රමය,බිල්පත් අංකය,පාරිභෝගිකයා ,රිටන් බිල්පත් අංකය,Order/Order Lines/Product,Order/Order Lines/Quantity,Order/Order Lines/Discount (%),Order/Order Lines/Subtotal w/o Tax,මුදල්
2021-09-18 15:32:33,මුදල්,Order 00430-004-0011,FALSE,,[JZ161019] Pad Brake Pedal,1,15,119,120
2021-09-18 15:20:01,මුදල්,Order 00430-004-0010,FALSE,,[36DU4017] Kit Chain Sprocket,1,0,3900,3900
2021-09-18 15:12:11,මුදල්,Order 00430-004-0009,FALSE,,[36DU1205] Kit - Carburettor Float Pin,1,0,800,800
2021-09-18 15:09:25,මුදල්,Order 00430-004-0008,FALSE,,[YAAS7001] Pickup Coil - Fl,1,15,595,600
2021-09-18 15:03:03,මුදල්,Order 00430-004-0007,FALSE,,[AN101083] Breather Tube Assembly,1,15,246.5,620
,,,,,[24160924] Engine Bush,2,15,374,
2021-09-18 15:01:54,මුදල්,Order 00430-004-0006,FALSE,,[31191027] Cable Comp Throttle,1,15,739.5,1560
,,,,,[DL191013] Lever - Clutch,1,15,824.5,
2021-09-18 14:57:28,මුදල්,Order 00430-004-0005,FALSE,,[DF161413] Damper-Step:-Front In 'Pvc',2,15,1122,3450
,,,,,[DU101185] Lever Change With Damper,1,15,1827.5,
,,,,,[DF191066] Lever Brake,1,15,501.5,
2021-09-18 14:52:40,මුදල්,Order 00430-004-0004,FALSE,,[24101177(YL)] YL Starting Handle,1,0,1450,1450
2021-09-18 14:49:06,මුදල්,Order 00430-004-0003,FALSE,,[JK231400] Grip-Frame,1,15,3179,3180
2021-09-18 14:45:47,මුදල්,Order 00430-004-0002,FALSE,,[36AA1004] Oil Seal Kit [3W-4S],1,15,680,3510
,,,,,[36AA4042] Kit_ Packing Set Re 205,1,15,2473.5,
,,,,,[28101110] Damper Spring,1,15,263.5,
,,,,,[JE581225] Seal Oring Tps Bs26,3,0,90,
2021-09-18 14:39:33,මුදල්,Order 00430-002-0001,FALSE,,[JA541212] Gasket Clutch Cover,1,15,280.5,440
,,,,,[24170507] Bolt,1,15,161.5,
2021-09-18 14:15:54,මුදල්,Order 00430-001-0068,FALSE,,[52DU0555] Swing Arm(Du171018) With Bush,1,20,6560,6560
2021-09-18 14:10:37,මුදල්,Order 00430-001-0067,FALSE,,[C1B1394421LU-12XL2.5L-C4B1] Lucas 12XL2.5L-C,1,0,2200,2200
2021-09-18 14:06:09,මුදල්,Order 00430-001-0066,FALSE,,[DS101036] Cam-Chain :-24-94L,2,15,2380,4300
,,,,,[31101033] Chain-Timing,2,15,1921,
2021-09-18 14:04:36,මුදල්,Order 00430-001-0065,FALSE,,[DP161102] Lock-Assy (Seat),1,12,484,480
2021-09-18 13:55:23,මුදල්,Order 00430-001-0064,Wayamba Motors,,[DH101373] Scissor Balancer Idler - Nylon,2,15,1071,1070
2021-09-18 13:50:22,මුදල්,Order 00430-001-0063,Wayamba Motors,,[JC101034] Tensioner Assembly (Jc),1,15,1351.5,3220
,,,,,[39201719] Oil Seal Valve,2,15,340,
,,,,,[36DH4030] Kit Chain Guide Pulsar-150,1,15,816,
,,,,,[DS101096] Camshaft Cap,1,15,238,
,,,,,[790920121274] ABRO 999 Gasket Marker - Grey,1,0,470,
2021-09-18 13:37:31,මුදල්,Order 00430-001-0042,FALSE,,[PA121042] Fork Pipe Spinning,2,0,7200,26370
,,,,,[FORK-OIL(APLUS)] A Plus Fork Oil - 2W - 350ml,1,0,450,
,,,,,[JZ161204] Speedometer Cable,1,15,731,
,,,,,[DJ151057] Case Meter Gear Assy -Al Hsg,1,15,1589.5,
,,,,,[DE151012] Plate - Drive,1,0,50,
,,,,,[DE151008] Oil Seal [ F/ Hub - Disk ],1,0,200,
,,,,,[6301(NACHi)] NACHi 6301 Bearing,2,0,900,
,,,,,[36JH0011] Kit Fork Cylinder Comp,1,15,374,
,,,,,[DJ151041] Axle,1,15,680,
,,,,,[PA131021] Wheel Front 1.4X17-Di,1,0,14200,
2021-09-18 13:21:59,මුදල්,Order 00430-001-0061,FALSE,,[36JE0012] Kit Cyl Blk Pst Asly Sprint,1,17,9951.7,10910
,,,,,[JD511008] Gasket Cylinder Head,1,15,697,
,,,,,[JD521002] Gasket Cylinder Block,1,15,221,
,,,,,[CS101128] Gasket,1,0,40,
2021-09-18 13:14:02,මුදල්,Order 00430-001-0060,FALSE,,[SHELLAC-GLUE] Shellac Glue,1,0,300,300
2021-09-18 13:10:46,මුදල්,Order 00430-001-0058,FALSE,,[GK36AE00(SA)] SA Set - Gasket [5P] - 3W / RE,1,0,160,11430
,,,,,[36241010] Kit Oil Seal Re-5P,1,15,739.5,
,,,,,[36222246] Spring Plate Set,1,15,161.5,
