External ID,Internal Reference,Quantity On Hand
point_of_sale.01100404,01100404,-5.0
point_of_sale.01100610,01100610,-173.0
point_of_sale.01100611,01100611,-88.0
point_of_sale.01100612,01100612,-50.0
point_of_sale.01100613,01100613,-1.0
point_of_sale.01100614,01100614,-74.0
point_of_sale.01100615,01100615,-44.0
point_of_sale.01100711,01100711,-12.0
point_of_sale.01100713,01100713,-1.0
point_of_sale.01100714,01100714,-2.0
point_of_sale.01100719,01100719,-168.0
point_of_sale.01100804,01100804,492.0
point_of_sale.01100817,01100817,-35.0
point_of_sale.01100818,01100818,32.0
point_of_sale.01100821,01100821,-11.0
point_of_sale.01100823,01100823,-5.0
point_of_sale.01100828,01100828,-4.0
point_of_sale.01100904,01100904,0.0
point_of_sale.01100905,01100905,-148.0
point_of_sale.01100909,01100909,0.0
point_of_sale.01101004,01101004,-97.0
point_of_sale.01101008,01101008,0.0
point_of_sale.01101009,01101009,12.0
point_of_sale.01101009K,01101009K,0.0
point_of_sale.01101131,01101131,-2.0
point_of_sale.01101205,01101205,0.0
point_of_sale.01101206,01101206,-12.0
point_of_sale.01101306,01101306,-66.0
point_of_sale.01110609,01110609,-42.0
point_of_sale.01120209,01120209,-24.0
point_of_sale.01120218,01120218,0.0
point_of_sale.01120222,01120222,0.0
point_of_sale.01140116,01140116,-229.0
point_of_sale.01140117,01140117,0.0
point_of_sale.01140213,01140213,-7.0
point_of_sale.01140220,01140220,0.0
point_of_sale.01140228,01140228,0.0
point_of_sale.01150112,01150112,-202.0
point_of_sale.01150209,01150209,-10.0
point_of_sale.01160126,01160126,-73.0
point_of_sale.01160508,01160508,-6.0
point_of_sale.01160509,01160509,-39.0
point_of_sale.01160717,01160717,-52.0
point_of_sale.01170110,01170110,0.0
point_of_sale.01170111,01170111,80.0
point_of_sale.01170119,01170119,-34.0
point_of_sale.01170122,01170122,-18.0
point_of_sale.01170130,01170130,0.0
point_of_sale.01170254,01170254,-14.0
point_of_sale.01180123,01180123,182.0
point_of_sale.01180128,01180128,0.0
point_of_sale.01180129,01180129,-4.0
point_of_sale.01180130,01180130,-1.0
point_of_sale.01190108,01190108,0.0
point_of_sale.01190205,01190205,0.0
point_of_sale.01200213,01200213,-18.0
point_of_sale.02120304,02120304,-1.0
point_of_sale.02140121,02140121,-1.0
point_of_sale.02190249,02190249,0.0
point_of_sale.03100308,03100308,-2.0
point_of_sale.03100335,03100335,23.0
point_of_sale.03100338,03100338,45.0
point_of_sale.03100609,03100609,-1.0
point_of_sale.03100619,03100619,10.0
point_of_sale.03100620,03100620,20.0
point_of_sale.03100621,03100621,7.0
point_of_sale.03100622,03100622,9.0
point_of_sale.03100623,03100623,0.0
point_of_sale.03100627,03100627,0.0
point_of_sale.03100718,03100718,-109.0
point_of_sale.03100802,03100802,1.0
point_of_sale.03100826,03100826,0.0
point_of_sale.03100910,03100910,0.0
point_of_sale.03101201,03101201,0.0
point_of_sale.03120208,03120208,0.0
point_of_sale.03120210,03120210,0.0
point_of_sale.03150207,03150207,-3.0
point_of_sale.03170109,03170109,-220.0
point_of_sale.03170121,03170121,7.0
point_of_sale.03170126,03170126,0.0
point_of_sale.03170127,03170127,12.0
point_of_sale.03170129,03170129,0.0
point_of_sale.03170351,03170351,-2.0
point_of_sale.03180111,03180111,0.0
point_of_sale.03180114,03180114,-4.0
point_of_sale.03180116,03180116,-9.0
point_of_sale.03180118,03180118,-9.0
point_of_sale.03180123,03180123,0.0
point_of_sale.03190204,03190204,-9.0
point_of_sale.03190206,03190206,-12.0
point_of_sale.03190228,03190228,-1.0
point_of_sale.03200232,03200232,0.0
point_of_sale.03220102,03220102,0.0
point_of_sale.04101027,04101027,0.0
point_of_sale.05101018,05101018,37.0
point_of_sale.05101040,05101040,0.0
point_of_sale.05101051,05101051,0.0
point_of_sale.05101056,05101056,0.0
point_of_sale.05101057,05101057,0.0
point_of_sale.05101071,05101071,11.0
point_of_sale.05101072,05101072,43.0
point_of_sale.05101083,05101083,0.0
point_of_sale.05111065,05111065,0.0
point_of_sale.05111095,05111095,0.0
point_of_sale.05111190,05111190,0.0
point_of_sale.05151012,05151012,0.0
point_of_sale.05151020,05151020,0.0
point_of_sale.05161256,05161256,-13.0
point_of_sale.05171008,05171008,0.0
point_of_sale.05171012,05171012,-6.0
point_of_sale.05171056,05171056,0.0
point_of_sale.05181011,05181011,0.0
point_of_sale.05181016,05181016,-1.0
point_of_sale.05181023,05181023,0.0
point_of_sale.05181037,05181037,0.0
point_of_sale.05190301,05190301,9.0
point_of_sale.05190302,05190302,44.0
point_of_sale.05191001,05191001,0.0
point_of_sale.05191005,05191005,0.0
point_of_sale.05191024,05191024,0.0
point_of_sale.05191034,05191034,0.0
point_of_sale.05191046,05191046,0.0
point_of_sale.05191051,05191051,0.0
point_of_sale.05201091,05201091,0.0
point_of_sale.05201146,05201146,0.0
point_of_sale.05201173,05201173,0.0
point_of_sale.05201194,05201194,0.0
point_of_sale.06100411,06100411,0.0
point_of_sale.06100702,06100702,14.0
point_of_sale.06100706,06100706,0.0
point_of_sale.06100708,06100708,0.0
point_of_sale.06101004,06101004,-4.0
point_of_sale.06101007,06101007,-5.0
point_of_sale.06101009,06101009,45.0
point_of_sale.06101049,06101049,0.0
point_of_sale.06101056,06101056,-3.0
point_of_sale.06101058,06101058,0.0
point_of_sale.06101098,06101098,0.0
point_of_sale.06101099,06101099,0.0
point_of_sale.06101112,06101112,0.0
point_of_sale.06101213,06101213,-1.0
point_of_sale.06101218,06101218,4.0
point_of_sale.06101252,06101252,78.0
point_of_sale.06101254,06101254,-3.0
point_of_sale.06111026,06111026,0.0
point_of_sale.06111034,06111034,0.0
point_of_sale.06111085,06111085,0.0
point_of_sale.06111179,06111179,0.0
point_of_sale.06111191,06111191,0.0
point_of_sale.06111192,06111192,0.0
point_of_sale.06111193,06111193,0.0
point_of_sale.06111251,06111251,-1.0
point_of_sale.06111266,06111266,0.0
point_of_sale.06111279,06111279,1.0
point_of_sale.06121013,06121013,0.0
point_of_sale.06121031,06121031,0.0
point_of_sale.06121045,06121045,0.0
point_of_sale.06141010,06141010,-1.0
point_of_sale.06150101,06150101,0.0
point_of_sale.06150201,06150201,0.0
point_of_sale.06150302,06150302,-6.0
point_of_sale.06150304,06150304,0.0
point_of_sale.06151013,06151013,0.0
point_of_sale.06151023,06151023,-29.0
point_of_sale.06151031,06151031,0.0
point_of_sale.06151032,06151032,0.0
point_of_sale.06160711,06160711,0.0
point_of_sale.06160712,06160712,-6.0
point_of_sale.06160713,06160713,0.0
point_of_sale.06161228,06161228,-5.0
point_of_sale.06161248,06161248,0.0
point_of_sale.06161353,06161353,0.0
point_of_sale.06170201,06170201,0.0
point_of_sale.06180107,06180107,0.0
point_of_sale.06180303,06180303,-10.0
point_of_sale.06181002,06181002,0.0
point_of_sale.06181038,06181038,0.0
point_of_sale.06181049,06181049,-6.0
point_of_sale.06181070,06181070,-3.0
point_of_sale.06190111,06190111,0.0
point_of_sale.06190226,06190226,0.0
point_of_sale.06190227,06190227,1.0
point_of_sale.06190310,06190310,0.0
point_of_sale.06191010,06191010,0.0
point_of_sale.06191013,06191013,0.0
point_of_sale.06191035,06191035,0.0
point_of_sale.06191055,06191055,0.0
point_of_sale.06191061,06191061,0.0
point_of_sale.06191065,06191065,-7.0
point_of_sale.06191077,06191077,0.0
point_of_sale.06191080,06191080,-2.0
point_of_sale.06191089,06191089,16.0
point_of_sale.06191096,06191096,0.0
point_of_sale.06191097,06191097,0.0
point_of_sale.06191113,06191113,0.0
point_of_sale.06191121,06191121,0.0
point_of_sale.06191127,06191127,0.0
point_of_sale.06201007,06201007,-3.0
point_of_sale.06201024,06201024,0.0
point_of_sale.06201082,06201082,0.0
point_of_sale.06201083,06201083,0.0
point_of_sale.06201198,06201198,0.0
point_of_sale.06201200,06201200,0.0
point_of_sale.06201204,06201204,0.0
point_of_sale.06201246,06201246,0.0
point_of_sale.06201274,06201274,0.0
point_of_sale.06201284,06201284,-41.0
point_of_sale.06201325,06201325,0.0
point_of_sale.06201334,06201334,0.0
point_of_sale.06201396,06201396,0.0
point_of_sale.07140203,07140203,0.0
point_of_sale.07181004,07181004,0.0
point_of_sale.07181006,07181006,0.0
point_of_sale.07181007,07181007,0.0
point_of_sale.07181009,07181009,2.0
point_of_sale.0770020170,0770020170,0.0
point_of_sale.07700900151,07700900151,0.0
point_of_sale.07701250151,07701250151,0.0
point_of_sale.0770260015,0770260015,0.0
point_of_sale.07703305178,07703305178,0.0
point_of_sale.0770440020,0770440020,0.0
point_of_sale.08111018,08111018,0.0
point_of_sale.08161028,08161028,0.0
point_of_sale.08161032,08161032,0.0
point_of_sale.08201007,08201007,0.0
point_of_sale.10111009,10111009,8.0
point_of_sale.10191001,10191001,0.0
point_of_sale.12151003,12151003,0.0
point_of_sale.12191008,12191008,0.0
point_of_sale.12191012,12191012,0.0
point_of_sale.12201003,12201003,0.0
point_of_sale.13101022,13101022,0.0
point_of_sale.13101024,13101024,108.0
point_of_sale.13101031,13101031,5.0
point_of_sale.13101035,13101035,0.0
point_of_sale.13101165,13101165,80.0
point_of_sale.14151021,14151021,1.0
point_of_sale.14151033,14151033,2.0
point_of_sale.14181010,14181010,0.0
point_of_sale.14191013,14191013,0.0
point_of_sale.15101011,15101011,0.0
point_of_sale.15101015,15101015,-1.0
point_of_sale.15101027,15101027,0.0
point_of_sale.15101043,15101043,0.0
point_of_sale.15101051,15101051,0.0
point_of_sale.15101055,15101055,0.0
point_of_sale.15101068,15101068,0.0
point_of_sale.15101084,15101084,-1.0
point_of_sale.15101122,15101122,104.0
point_of_sale.15101146,15101146,0.0
point_of_sale.15101163,15101163,0.0
point_of_sale.15101171,15101171,-9.0
point_of_sale.15141007,15141007,0.0
point_of_sale.15141013,15141013,-21.0
point_of_sale.15151047,15151047,-1.0
point_of_sale.15151056,15151056,0.0
point_of_sale.15151058,15151058,-3.0
point_of_sale.15151066,15151066,3.0
point_of_sale.15151078,15151078,0.0
point_of_sale.15161069,15161069,124.0
point_of_sale.15161103,15161103,0.0
point_of_sale.15161137,15161137,0.0
point_of_sale.15171011,15171011,-1.0
point_of_sale.15171012,15171012,-1.0
point_of_sale.15171017,15171017,0.0
point_of_sale.15171060,15171060,-1.0
point_of_sale.15181034,15181034,0.0
point_of_sale.15191025,15191025,0.0
point_of_sale.15191026,15191026,-44.0
point_of_sale.15191039,15191039,0.0
point_of_sale.15191045,15191045,0.0
point_of_sale.16101005,16101005,0.0
point_of_sale.16101022,16101022,0.0
point_of_sale.16101037,16101037,0.0
point_of_sale.16101059,16101059,0.0
point_of_sale.16101107,16101107,0.0
point_of_sale.16101256,16101256,0.0
point_of_sale.16101267,16101267,0.0
point_of_sale.16111115,16111115,0.0
point_of_sale.16111125,16111125,0.0
point_of_sale.16121004,16121004,0.0
point_of_sale.16121006,16121006,0.0
point_of_sale.16121019,16121019,0.0
point_of_sale.16121138,16121138,0.0
point_of_sale.16141020,16141020,-2.0
point_of_sale.16151007,16151007,0.0
point_of_sale.16151008,16151008,0.0
point_of_sale.16151015,16151015,0.0
point_of_sale.16151017,16151017,0.0
point_of_sale.16151029,16151029,0.0
point_of_sale.16151038,16151038,0.0
point_of_sale.16151054,16151054,0.0
point_of_sale.16151060,16151060,0.0
point_of_sale.16151063,16151063,0.0
point_of_sale.16151064,16151064,0.0
point_of_sale.16151065,16151065,0.0
point_of_sale.16151066,16151066,287.0
point_of_sale.16161068,16161068,0.0
point_of_sale.16161111,16161111,0.0
point_of_sale.16171092,16171092,0.0
point_of_sale.16191004,16191004,0.0
point_of_sale.16191006,16191006,0.0
point_of_sale.16191010,16191010,0.0
point_of_sale.16191025,16191025,0.0
point_of_sale.16191036,16191036,0.0
point_of_sale.16201052,16201052,0.0
point_of_sale.16201055,16201055,0.0
point_of_sale.17101014,17101014,0.0
point_of_sale.18111068,18111068,0.0
point_of_sale.18141041,18141041,0.0
point_of_sale.18151019,18151019,0.0
point_of_sale.18151030,18151030,0.0
point_of_sale.18191012,18191012,0.0
point_of_sale.18201044,18201044,30.0
point_of_sale.19101003,19101003,10.0
point_of_sale.19101012,19101012,0.0
point_of_sale.19101014,19101014,0.0
point_of_sale.19101016,19101016,-4.0
point_of_sale.19101017,19101017,8.0
point_of_sale.19101018,19101018,-7.0
point_of_sale.19101019,19101019,0.0
point_of_sale.19121027,19121027,0.0
point_of_sale.19121029,19121029,1.0
point_of_sale.19121037,19121037,0.0
point_of_sale.19121040,19121040,0.0
point_of_sale.19141014,19141014,0.0
point_of_sale.19151008,19151008,0.0
point_of_sale.19161151,19161151,-10.0
point_of_sale.19161157,19161157,0.0
point_of_sale.19191016,19191016,0.0
point_of_sale.20101020,20101020,0.0
point_of_sale.20161003,20161003,0.0
point_of_sale.20191015,20191015,0.0
point_of_sale.20201002,20201002,0.0
point_of_sale.20201029,20201029,2.0
point_of_sale.20201030,20201030,0.0
point_of_sale.20201031,20201031,0.0
point_of_sale.20221002,20221002,0.0
point_of_sale.21100314,21100314,0.0
point_of_sale.21100324,21100324,28.0
point_of_sale.21100711,21100711,0.0
point_of_sale.21101408,21101408,-1.0
point_of_sale.21101427,21101427,32.0
point_of_sale.21101429,21101429,3.0
point_of_sale.21120228,21120228,-5.0
point_of_sale.21130110,21130110,-6.0
point_of_sale.21130124,21130124,-16.0
point_of_sale.21150220,21150220,-2.0
point_of_sale.21150406,21150406,0.0
point_of_sale.21150416,21150416,0.0
point_of_sale.21150420,21150420,1.0
point_of_sale.21150421,21150421,-4.0
point_of_sale.21150422,21150422,-11.0
point_of_sale.21160417,21160417,-2.0
point_of_sale.21170322,21170322,0.0
point_of_sale.21170323,21170323,-3.0
point_of_sale.21170406,21170406,0.0
point_of_sale.21170419,21170419,5.0
point_of_sale.21170516,21170516,-1.0
point_of_sale.21170518,21170518,-1.0
point_of_sale.21180108,21180108,0.0
point_of_sale.21180307,21180307,-1.0
point_of_sale.21180308,21180308,-7.0
point_of_sale.22100703,22100703,0.0
point_of_sale.22101055,22101055,0.0
point_of_sale.22101075,22101075,0.0
point_of_sale.22101081,22101081,-1.0
point_of_sale.22101121,22101121,0.0
point_of_sale.22101139,22101139,0.0
point_of_sale.22101198,22101198,0.0
point_of_sale.22101211,22101211,0.0
point_of_sale.22101423,22101423,-6.0
point_of_sale.22111034,22111034,0.0
point_of_sale.22111086,22111086,0.0
point_of_sale.22111089,22111089,0.0
point_of_sale.22120435,22120435,-21.0
point_of_sale.22120503,22120503,0.0
point_of_sale.22120504,22120504,0.0
point_of_sale.22120505,22120505,0.0
point_of_sale.22120506,22120506,0.0
point_of_sale.22120512,22120512,0.0
point_of_sale.22120521,22120521,0.0
point_of_sale.22120522,22120522,0.0
point_of_sale.22120524,22120524,0.0
point_of_sale.22120525,22120525,0.0
point_of_sale.22121009,22121009,0.0
point_of_sale.22130129,22130129,0.0
point_of_sale.22130147,22130147,-3.0
point_of_sale.22130152,22130152,0.0
point_of_sale.22131011,22131011,0.0
point_of_sale.22131014,22131014,14.0
point_of_sale.22131018,22131018,41.0
point_of_sale.22131038,22131038,0.0
point_of_sale.22150240,22150240,104.0
point_of_sale.22150241,22150241,-2.0
point_of_sale.22150242,22150242,8.0
point_of_sale.22150243,22150243,0.0
point_of_sale.22150435,22150435,-67.0
point_of_sale.22150439,22150439,2.0
point_of_sale.22150441,22150441,0.0
point_of_sale.22150442,22150442,0.0
point_of_sale.22150451,22150451,50.0
point_of_sale.22150452,22150452,-2.0
point_of_sale.22150455,22150455,0.0
point_of_sale.22150456,22150456,0.0
point_of_sale.22150459,22150459,0.0
point_of_sale.22150507,22150507,0.0
point_of_sale.22150513,22150513,0.0
point_of_sale.22150515,22150515,0.0
point_of_sale.22150520,22150520,0.0
point_of_sale.22150525,22150525,-6.0
