ID,Product/ID,Product/Internal Reference,Counted Quantity
__export__.stock_inventory_line_266227_f81cdb8a,__export__.product_product_14757_9da29210,DH101016,390.0
__export__.stock_inventory_line_266271_6e9c3a5b,__export__.product_product_14931_858b8efc,DH101680,51.0
__export__.stock_inventory_line_273887_d942f9d3,__export__.product_product_14958_496d2e37,DH101877,35.0
__export__.stock_inventory_line_266302_f80e7038,__export__.product_product_15056_33c87146,DH121093,13.0
__export__.stock_inventory_line_266545_068226a8,__export__.product_product_16342_58194f41,DM101139,211.0
__export__.stock_inventory_line_266546_c0b846e6,__export__.product_product_16343_04f3e8a2,DM101140,218.0
__export__.stock_inventory_line_266571_5591754a,__export__.product_product_16613_fd429184,DS101036,658.0
__export__.stock_inventory_line_266846_91cc0bb1,__export__.product_product_18221_f8c7c29e,JA541212,366.0
__export__.stock_inventory_line_266899_6416b72c,__export__.product_product_18552_ae6fbde5,JC101034,64.0
__export__.stock_inventory_line_266965_a91f6353,__export__.product_product_18893_8c595228,JD521002,623.0
__export__.stock_inventory_line_264823_34bee203,__export__.product_product_37761_9003b2ee,22170434,72.0
__export__.stock_inventory_line_264908_fbc4aa3a,__export__.product_product_38079_82cb2f52,24151098,34.0
__export__.stock_inventory_line_264913_fa69ce97,__export__.product_product_38108_adc8cd62,24151171,86.0
__export__.stock_inventory_line_265064_a1f4c2e9,__export__.product_product_11385_a84e059b,31151060,85.0
__export__.stock_inventory_line_268715_d9865570,__export__.product_product_38417_75502bfa,36152203,50.0
__export__.stock_inventory_line_268955_795a83ad,__export__.product_product_11632_f03fb0a4,36DJ4104,50.0
__export__.stock_inventory_line_265181_7661a105,__export__.product_product_11704_29d95dc6,36DS1002,53.0
__export__.stock_inventory_line_267325_925231e5,__export__.product_product_32186_251cbe2d,JZ511016,54.0
__export__.stock_inventory_line_266961_3e9c6367,__export__.product_product_18884_48a84f25,JD511010,88.0
__export__.stock_inventory_line_266827_07df0b60,__export__.product_product_18166_db60c6c8,JA511006,14.0
__export__.stock_inventory_line_266542_8f4f6805,__export__.product_product_16326_2ba4348d,DL181080,120.0
__export__.stock_inventory_line_266421_ba363a03,__export__.product_product_15766_29e293ac,DJ191055,29.0
__export__.stock_inventory_line_266416_a43decb6,__export__.product_product_15749_c19a10fa,DJ191023,36.0
__export__.stock_inventory_line_266383_2a1885f8,__export__.product_product_15601_2f33e76c,DJ151071,69.0
__export__.stock_inventory_line_266360_1fbf12e7,__export__.product_product_15484_254e9189,DJ101216,12.0
__export__.stock_inventory_line_265254_623fa4db,__export__.product_product_12252_aa9afabd,36JZ0002,14.0
__export__.stock_inventory_line_265256_6f30637a,__export__.product_product_12256_1b8a20bc,36JZ0007,36.0
__export__.stock_inventory_line_265683_32838f7a,__export__.product_product_38972_d704bdb5,AA101446,45.0
__export__.stock_inventory_line_265687_80b83af9,__export__.product_product_38983_f7e823a8,AA101472,375.0
__export__.stock_inventory_line_265828_2fd5b35a,__export__.product_product_39339_8589016c,AA171006,29.0
__export__.stock_inventory_line_265841_1e36821a,__export__.product_product_39378_959938c8,AA191071,9.0
__export__.stock_inventory_line_265932_71bdca52,__export__.product_product_46891_cbeae897,AE121001,16.0
__export__.stock_inventory_line_265982_7161c67f,__export__.product_product_47152_40778cfa,AN101149,31.0
__export__.stock_inventory_line_266126_ab39c405,__export__.product_product_14110_99307f6f,CL201023,73.0
__export__.stock_inventory_line_266252_11325930,__export__.product_product_14844_8bf469c1,DH101344,31.0
