ID,Product/ID,Product/Internal Reference,Counted Quantity
__export__.stock_inventory_line_165062_2eb77ae1,__export__.product_product_49923_98dce898,AB171003(YL),1.0
__export__.stock_inventory_line_165056_870d201a,__export__.product_product_49924_b01871fe,AA111091(YL),2.0
__export__.stock_inventory_line_165084_09a34f3e,__export__.product_product_49925_3a2b73a5,DJ191023(YL),1.0
__export__.stock_inventory_line_165019_61d2e189,__export__.product_product_49926_cff49171,36AA4032(YL),3.0
__export__.stock_inventory_line_165020_f9a47bc3,__export__.product_product_49927_1c1e6560,36DH4041(YL),2.0
__export__.stock_inventory_line_165012_38e684db,__export__.product_product_49928_39958f76,24101056(YL),3.0
__export__.stock_inventory_line_165060_0dcceeaa,__export__.product_product_49929_1e430ea5,AA201041(YL),11.0
__export__.stock_inventory_line_165054_b46f9192,__export__.product_product_49930_5fdcc5e2,AA101624(YL),3.0
__export__.stock_inventory_line_165070_d2ac599e,__export__.product_product_49931_fea02c6e,AN101308(YL),3.0
__export__.stock_inventory_line_165066_399d0686,__export__.product_product_49932_343ce57f,AL201012(YL),3.0
__export__.stock_inventory_line_165072_2185cecb,__export__.product_product_49933_29706c17,AZ161000(YL),1.0
__export__.stock_inventory_line_165058_c9f1908a,__export__.product_product_49934_9dab129c,AA171006(YL),0.0
__export__.stock_inventory_line_165080_5a957f6f,__export__.product_product_49935_a7c53e06,DH111012(YL),4.0
__export__.stock_inventory_line_165010_3b39f623,__export__.product_product_49936_55747ad3,06101213(YL),3.0
__export__.stock_inventory_line_165051_1b5a7359,__export__.product_product_49937_16ed06af,AA101364(YL),2.0
__export__.stock_inventory_line_165009_11d76b19,__export__.product_product_49938_ca03d2d5,06101007(YL),8.0
__export__.stock_inventory_line_165013_607a85b0,__export__.product_product_49939_26f97cfb,24101177(YL),6.0
__export__.stock_inventory_line_165073_095514e8,__export__.product_product_49940_003baea7,AZ351002(YL),4.0
__export__.stock_inventory_line_165008_03ddf996,__export__.product_product_49941_5668df5b,06100702(YL),5.0
__export__.stock_inventory_line_165055_45597ba0,__export__.product_product_49942_14bcc9c0,AA111031(YL),3.0
__export__.stock_inventory_line_165100_25546325,__export__.product_product_49943_36288986,JA541019(YL),10.0
__export__.stock_inventory_line_165077_959d5149,__export__.product_product_49944_6ff51ba3,CD101008(YL),14.0
__export__.stock_inventory_line_165090_c8ef31d5,__export__.product_product_49945_c901a5db,DS101336(YL),52.0
__export__.stock_inventory_line_165016_b53e82b5,__export__.product_product_49946_fc919c34,24191019(YL),40.0
__export__.stock_inventory_line_165018_7874cab8,__export__.product_product_49947_cf4f606c,36311014(YL),40.0
__export__.stock_inventory_line_165021_443d8f76,__export__.product_product_49948_2f4ffe95,36DK0005(YL),5.0
__export__.stock_inventory_line_165022_da50db03,__export__.product_product_49949_e8fb9840,36DU1504(YL),20.0
__export__.stock_inventory_line_165023_9d074194,__export__.product_product_49950_b9a2803a,36JA0002(YL),5.0
__export__.stock_inventory_line_165024_79aef7ff,__export__.product_product_49951_8e8675b8,36JZ0003(YL),1.0
__export__.stock_inventory_line_165025_48f88026,__export__.product_product_49952_53e7d399,39105315(YL),100.0
