name,Include Exhausted Products,reference,line_ids/product_id/id,line_ids/location_id/id,line_ids/product_qty
PRIBDM2021102105319,True,24151171,__export__.product_product_38108_adc8cd62,stock.stock_location_stock,80.0
,,30151105,__export__.product_product_11238_926c2a15,stock.stock_location_stock,81.0
,,DJ151071,__export__.product_product_15601_2f33e76c,stock.stock_location_stock,46.0
,,DK151085,__export__.product_product_16115_79ceef7b,stock.stock_location_stock,22.0
,,31151060,__export__.product_product_11385_a84e059b,stock.stock_location_stock,60.0
PRIBDM2021102105320,True,15161069,__export__.product_product_11039_912a0b43,stock.stock_location_stock,200.0
,,36JD0004,__export__.product_product_11859_9c3477c8,stock.stock_location_stock,6.0
,,DU101190,__export__.product_product_17282_4966ca18,stock.stock_location_stock,31.0
,,JK402411,__export__.product_product_23271_8ebc4339,stock.stock_location_stock,4.0
,,39214124,__export__.product_product_12738_e984e7d3,stock.stock_location_stock,210.0
,,56JL023G,__export__.product_product_13869_9d602ac3,stock.stock_location_stock,4.0
,,DD101325,__export__.product_product_14182_5c727f66,stock.stock_location_stock,27.0
,,DD181184,__export__.product_product_14309_a19b7bc5,stock.stock_location_stock,26.0
,,DK101340,__export__.product_product_15960_63ee9e35,stock.stock_location_stock,56.0
,,DK141015,__export__.product_product_16064_f7ba89be,stock.stock_location_stock,5.0
,,DT402009,__export__.product_product_17195_9593f998,stock.stock_location_stock,2.0
,,DU101191,__export__.product_product_17283_f59edfaf,stock.stock_location_stock,30.0
,,JF402404,__export__.product_product_22518_e945d28d,stock.stock_location_stock,5.0
,,DD181192,__export__.product_product_14313_a4bb04a8,stock.stock_location_stock,20.0
,,JK181246,__export__.product_product_23225_a469b0ec,stock.stock_location_stock,10.0
,,56JL335X,__export__.product_product_13900_8d38a4e3,stock.stock_location_stock,1.0
,,36JE0002,__export__.product_product_11889_5ae6b213,stock.stock_location_stock,15.0
,,JB581278,__export__.product_product_18500_635ac4aa,stock.stock_location_stock,2.0
,,DK151089,__export__.product_product_16117_a45c665c,stock.stock_location_stock,6.0
,,36JH0018,__export__.product_product_11991_f926e8c7,stock.stock_location_stock,1.0
PRIBDM2021102105321,True,24151060,__export__.product_product_38069_09d76c12,stock.stock_location_stock,15.0
,,36DU1205,__export__.product_product_11773_dc7dfd0d,stock.stock_location_stock,75.0
,,DE151046,__export__.product_product_14413_dbf576de,stock.stock_location_stock,20.0
,,DH101344,__export__.product_product_14844_8bf469c1,stock.stock_location_stock,25.0
,,DU101038,__export__.product_product_17253_c3bc418e,stock.stock_location_stock,15.0
,,DM191002,__export__.product_product_16396_fa8060d2,stock.stock_location_stock,17.0
,,DU201066,__export__.product_product_17477_759bd51d,stock.stock_location_stock,5.0
,,PA113077,__export__.product_product_32672_805a550a,stock.stock_location_stock,6.0
,,PA113075,__export__.product_product_32671_c2052070,stock.stock_location_stock,6.0
,,DS101319,__export__.product_product_16698_51e74b4f,stock.stock_location_stock,20.0
,,JZ113068,__export__.product_product_31869_3568c8d8,stock.stock_location_stock,2.0
,,DT401024,__export__.product_product_17186_ab85437d,stock.stock_location_stock,2.0
PRIBDM2021102105323,True,52DU0104,__export__.product_product_13147_4e371160,stock.stock_location_stock,13.0
,,DH161194,__export__.product_product_15152_f4515635,stock.stock_location_stock,52.0
,,JZ121068,__export__.product_product_31913_eb97ea2c,stock.stock_location_stock,1.0
,,JE621203,__export__.product_product_19185_5861f918,stock.stock_location_stock,2.0
PRIBDM2021102105324,True,DS101277,__export__.product_product_16690_9cb03956,stock.stock_location_stock,13.0
PRIBDM2021102105325,True,36AA4057,__export__.product_product_38472_f5408eb9,stock.stock_location_stock,3.0
,,36AA4058,__export__.product_product_38473_d1ee18c2,stock.stock_location_stock,3.0
,,DU181107,__export__.product_product_17422_31dc3d4f,stock.stock_location_stock,27.0
PRIBDM2021102105326,True,36DJ4104,__export__.product_product_11632_f03fb0a4,stock.stock_location_stock,25.0
,,36JZ0121,__export__.product_product_12332_ce1d92ce,stock.stock_location_stock,5.0
,,36PA0123,__export__.product_product_12397_0be52e63,stock.stock_location_stock,7.0
,,DH151079,__export__.product_product_15122_bb731224,stock.stock_location_stock,1.0
,,DJ201246,__export__.product_product_15854_83a073d9,stock.stock_location_stock,1.0
,,DT511262,__export__.product_product_17213_972ae815,stock.stock_location_stock,6.0
,,JE551403,__export__.product_product_19096_3a9958e7,stock.stock_location_stock,24.0
,,39100820,__export__.product_product_12623_509e24cb,stock.stock_location_stock,109.0
,,DJ191023,__export__.product_product_15749_c19a10fa,stock.stock_location_stock,41.0
,,DG171018,__export__.product_product_14650_0af623fa,stock.stock_location_stock,32.0
,,JL401006,__export__.product_product_23604_c7c7f111,stock.stock_location_stock,19.0
,,AZ351207,__export__.product_product_47318_8d5c8484,stock.stock_location_stock,48.0
PRIBDM2021102105322,True,36DS4020,__export__.product_product_11725_55b39835,stock.stock_location_stock,1.0
,,52DU0239,__export__.product_product_13150_0e6b31af,stock.stock_location_stock,3.0
,,59200029,__export__.product_product_14003_616a895f,stock.stock_location_stock,6.0
