name,Include Exhausted Products,reference,line_ids/product_id/id,line_ids/location_id/id,line_ids/product_qty
PRIBDM2021112908735,True,30151105,__export__.product_product_11238_926c2a15,stock.stock_location_stock,198.0
,,31151060,__export__.product_product_11385_a84e059b,stock.stock_location_stock,158.0
,,52DH1335,__export__.product_product_12929_f5f4388e,stock.stock_location_stock,15.0
,,AF111010,__export__.product_product_46908_3102356b,stock.stock_location_stock,24.0
,,DJ151071,__export__.product_product_15601_2f33e76c,stock.stock_location_stock,45.0
PRIBDM2021112908736,True,24101114,__export__.product_product_37822_a4ad1f0e,stock.stock_location_stock,30.0
,,35101059,__export__.product_product_38403_7d3e54e9,stock.stock_location_stock,25.0
,,36AA4020,__export__.product_product_38454_b76316b6,stock.stock_location_stock,17.0
,,AA101033,__export__.product_product_38868_10850e70,stock.stock_location_stock,4.0
,,AA101210,__export__.product_product_38920_011cfcda,stock.stock_location_stock,467.0
,,AA101564,__export__.product_product_39000_1ec75527,stock.stock_location_stock,43.0
,,AA101329,__export__.product_product_38953_e6d2108d,stock.stock_location_stock,6.0
,,AA101472,__export__.product_product_38983_f7e823a8,stock.stock_location_stock,227.0
,,AA101481,__export__.product_product_38989_1805047e,stock.stock_location_stock,27.0
,,AA101565,__export__.product_product_39001_02753d26,stock.stock_location_stock,38.0
,,AA101666,__export__.product_product_39029_16dbb117,stock.stock_location_stock,9.0
,,AB101067,__export__.product_product_46781_34999964,stock.stock_location_stock,41.0
,,AN101166,__export__.product_product_47159_b9ffcaee,stock.stock_location_stock,31.0
,,CB101114,__export__.product_product_14089_b5e6aa2d,stock.stock_location_stock,150.0
,,DD111018,__export__.product_product_14214_7e3a22e8,stock.stock_location_stock,69.0
,,DD111048,__export__.product_product_14219_5367380d,stock.stock_location_stock,46.0
,,DE151012,__export__.product_product_14405_c99709d4,stock.stock_location_stock,210.0
,,DG141019,__export__.product_product_14592_03dac00a,stock.stock_location_stock,55.0
,,DH111015,__export__.product_product_15014_35ae7052,stock.stock_location_stock,39.0
,,DJ151069,__export__.product_product_15599_ed00837f,stock.stock_location_stock,49.0
,,JN571001,__export__.product_product_23900_54e04a1b,stock.stock_location_stock,55.0
,,AB151093,__export__.product_product_46819_11b16df0,stock.stock_location_stock,128.0
,,AB151095,__export__.product_product_46821_5dace541,stock.stock_location_stock,64.0
,,AN101104,__export__.product_product_47138_a96f8065,stock.stock_location_stock,25.0
,,AU511002,__export__.product_product_47297_9a1f3576,stock.stock_location_stock,3.0
PRIBDM2021112908737,True,36DH4007,__export__.product_product_11495_efa1f13f,stock.stock_location_stock,41.0
,,36DH4154,__export__.product_product_11562_a4876f1d,stock.stock_location_stock,6.0
,,36PA0123,__export__.product_product_12397_0be52e63,stock.stock_location_stock,11.0
,,36PA0143,__export__.product_product_12416_558b8e66,stock.stock_location_stock,18.0
,,DL191012,__export__.product_product_16327_1cb04771,stock.stock_location_stock,14.0
,,JL121008,__export__.product_product_23363_d011a614,stock.stock_location_stock,8.0
,,DH171023,__export__.product_product_15223_f17e9010,stock.stock_location_stock,4.0
,,DJ191055,__export__.product_product_15766_29e293ac,stock.stock_location_stock,30.0
,,DK101565,__export__.product_product_15981_476e34e2,stock.stock_location_stock,58.0
,,DK101569,__export__.product_product_15985_c150c13a,stock.stock_location_stock,48.0
PRIBDM2021112908738,True,DU101218KA,__export__.product_product_17293_e8ea9a7f,stock.stock_location_stock,52.0
PRIBDM2021112908739,True,BGO20W50C,__export__.product_product_49755_86045366,stock.stock_location_stock,156.0
PRIBDM2021112908740,True,30101142,__export__.product_product_11197_96f5c3b6,stock.stock_location_stock,347.0
PRIBDM2021112908741,True,36DS1201,__export__.product_product_11708_54d75bd3,stock.stock_location_stock,44.0
,,36DU4076,__export__.product_product_11791_895d53b1,stock.stock_location_stock,7.0
,,36JD0021,__export__.product_product_11874_84a31874,stock.stock_location_stock,10.0
,,36JH0028,__export__.product_product_11997_abc05498,stock.stock_location_stock,8.0
,,36JK0031,__export__.product_product_12023_4c887899,stock.stock_location_stock,10.0
,,36PA0004,__export__.product_product_12380_448513ef,stock.stock_location_stock,25.0
,,39100820,__export__.product_product_12623_509e24cb,stock.stock_location_stock,142.0
,,DJ201202,__export__.product_product_15844_91b75502,stock.stock_location_stock,6.0
,,DS211006,__export__.product_product_16944_acc9383b,stock.stock_location_stock,20.0
,,DT581062,__export__.product_product_17233_49b6bcdd,stock.stock_location_stock,16.0
,,DU101190,__export__.product_product_17282_4966ca18,stock.stock_location_stock,36.0
,,JE581401,__export__.product_product_19166_bdf86a7f,stock.stock_location_stock,20.0
