name,Include Exhausted Products,reference,line_ids/product_id/id,line_ids/location_id/id,line_ids/product_qty
,,JE351200,__export__.product_product_18978_ad59ab6e,stock.stock_location_stock,2.0
,,JE511230,__export__.product_product_19017_83e7f648,stock.stock_location_stock,26.0
,,JL401400,__export__.product_product_23609_b450fb0c,stock.stock_location_stock,2.0
,,JW401600,__export__.product_product_24241_05c1580e,stock.stock_location_stock,4.0
DPMC - PRIBDM2021072104852,True,22131018,__export__.product_product_37717_31a459a1,stock.stock_location_stock,25.0
,,24151060,__export__.product_product_38069_09d76c12,stock.stock_location_stock,20.0
,,AA191091,__export__.product_product_39387_8a9eb5aa,stock.stock_location_stock,12.0
,,AA191093,__export__.product_product_46660_62900b40,stock.stock_location_stock,24.0
DPMC - PRIBDM2021072104853,True,13101165,__export__.product_product_37643_4f5d7097,stock.stock_location_stock,73.0
,,39099906,__export__.product_product_38661_ece48665,stock.stock_location_stock,20.0
,,AA101622,__export__.product_product_39021_c42eb979,stock.stock_location_stock,114.0
,,CS101128,__export__.product_product_14117_b12ede13,stock.stock_location_stock,275.0
,,DH161240,__export__.product_product_15159_b35c8d43,stock.stock_location_stock,20.0
,,DJ101371,__export__.product_product_15504_5c371821,stock.stock_location_stock,6.0
,,JA541225,__export__.product_product_18228_a6a468fe,stock.stock_location_stock,190.0
,,JB551408,__export__.product_product_18460_0f7cfaa4,stock.stock_location_stock,30.0
,,JB551411,__export__.product_product_18462_724be337,stock.stock_location_stock,24.0
,,JY171077,__export__.product_product_24348_f79534a4,stock.stock_location_stock,1.0
,,JZ131041,__export__.product_product_31938_a86e4ea6,stock.stock_location_stock,1.0
DPMC - PRIBDM2021072104854,True,AB101067,__export__.product_product_46781_34999964,stock.stock_location_stock,21.0
,,AN101116,__export__.product_product_47141_4e4a0bc8,stock.stock_location_stock,10.0
DPMC - PRIBDM2021072104855,True,28101107,__export__.product_product_11116_0f706494,stock.stock_location_stock,148.0
,,31151021,__export__.product_product_11372_72b44663,stock.stock_location_stock,48.0
,,36241010,__export__.product_product_38429_e8a114d2,stock.stock_location_stock,39.0
,,36314001K,__export__.product_product_11464_669bfc40,stock.stock_location_stock,43.0
,,36AA4050,__export__.product_product_38470_656a956e,stock.stock_location_stock,24.0
,,36AA4055,__export__.product_product_38471_b49b6a2b,stock.stock_location_stock,3.0
,,36DS1004,__export__.product_product_11706_899b1546,stock.stock_location_stock,194.0
,,36DZ0020,__export__.product_product_11812_103df8c3,stock.stock_location_stock,10.0
,,36BA4002,__export__.product_product_38530_923d3857,stock.stock_location_stock,10.0
,,36BA4009,__export__.product_product_38534_08d98267,stock.stock_location_stock,10.0
,,36DD4002,__export__.product_product_11474_3b9de8b0,stock.stock_location_stock,107.0
,,DJ191023,__export__.product_product_15749_c19a10fa,stock.stock_location_stock,31.0
,,AA121336,__export__.product_product_39249_6b5e9159,stock.stock_location_stock,38.0
,,KHAA2520,__export__.product_product_32471_d214e065,stock.stock_location_stock,30.0
,,KHAA3235,__export__.product_product_32473_5f31e4de,stock.stock_location_stock,20.0
DPMC - PRIBDM2021072104856,True,DF151016,__export__.product_product_14471_d2e93ef1,stock.stock_location_stock,3.0
,,DH102201,__export__.product_product_14987_da454263,stock.stock_location_stock,60.0
,,DH151081,__export__.product_product_15123_312a87cb,stock.stock_location_stock,2.0
