name,Include Exhausted Products,reference,line_ids/product_id/id,line_ids/location_id/id,line_ids/product_qty
,,DH201080,__export__.product_product_15316_cf028e48,stock.stock_location_stock,16.0
,,DJ191008,__export__.product_product_15738_7a9503ee,stock.stock_location_stock,24.0
,,DJ191023,__export__.product_product_15749_c19a10fa,stock.stock_location_stock,25.0
,,DK101625,__export__.product_product_16001_0ba041e3,stock.stock_location_stock,1.0
,,DK151094,__export__.product_product_16120_432a826f,stock.stock_location_stock,15.0
,,DS101319,__export__.product_product_16698_51e74b4f,stock.stock_location_stock,25.0
,,DS181044,__export__.product_product_16865_8ff0591c,stock.stock_location_stock,13.0
,,JA541021,__export__.product_product_18207_d06614be,stock.stock_location_stock,38.0
,,JE351005,__export__.product_product_18970_3deecacc,stock.stock_location_stock,3.0
,,JF401400,__export__.product_product_22498_990a9380,stock.stock_location_stock,6.0
,,JK402000,__export__.product_product_23256_e28f61ea,stock.stock_location_stock,6.0
,,JL151021,__export__.product_product_23407_3360b4ae,stock.stock_location_stock,6.0
,,JL151034,__export__.product_product_23414_d86398a0,stock.stock_location_stock,10.0
,,JN551416,__export__.product_product_23898_38948355,stock.stock_location_stock,9.0
,,JZ401013,__export__.product_product_32141_456a7ed0,stock.stock_location_stock,10.0
,,DS191041,__export__.product_product_16903_c93ebcaf,stock.stock_location_stock,3.0
,,DH111084,__export__.product_product_15032_d5818ba6,stock.stock_location_stock,1.0
,,DJ191027,__export__.product_product_15753_24394bf3,stock.stock_location_stock,10.0
,,JH122012,__export__.product_product_22952_38b602d0,stock.stock_location_stock,20.0
,,59040041,__export__.product_product_13985_0c6a3b48,stock.stock_location_stock,10.0
,,JA351600,__export__.product_product_18148_b4df198b,stock.stock_location_stock,1.0
,,DJ191058,__export__.product_product_15769_bbdead70,stock.stock_location_stock,1.0
PRIBDM2021081101600,True,39218919,__export__.product_product_12751_5a5dd00b,stock.stock_location_stock,338.0
,,AA121006,__export__.product_product_39184_addf96fb,stock.stock_location_stock,21.0
PRIRSQ2021081101602,True,31201079,__export__.product_product_11426_39620f60,stock.stock_location_stock,21.0
,,36311006,__export__.product_product_11456_4154bc3e,stock.stock_location_stock,38.0
,,39104219,__export__.product_product_12635_e93d2566,stock.stock_location_stock,424.0
,,39240320,__export__.product_product_12787_61902238,stock.stock_location_stock,38.0
,,59200012,__export__.product_product_38855_34d7d6f2,stock.stock_location_stock,44.0
