ID,Product/Product/ID,Point of Sale Category,Internal Reference,Quantity On Hand,Sales Price,Cost,Updated Sales Price,Updated Cost,Status
47566,__export__.product_product_47563_a3bde9c9,Bajaj / 3W,BF131723,0.0,600.0,600.0,,,
47262,__export__.product_product_47259_6e7f69f9,Bajaj / 3W,AP121048,0.0,30.0,30.0,,,
49521,__export__.product_product_49518_3337a102,Bajaj / QUTE,BF581018,0.0,50.0,50.0,,,
11284,__export__.product_product_11281_bc287dc2,Bajaj / 2W,30191069,0.0,35.0,35.0,,,
15720,__export__.product_product_15717_c81d7732,Bajaj / 2W,DJ181089,0.0,165.0,165.0,,,
22953,__export__.product_product_22950_cc0a617c,Bajaj / 2W,JH122009,0.0,330.0,330.0,,,
31990,__export__.product_product_31987_512ec767,Bajaj / 2W,JZ151091,0.0,20.0,20.0,,,
15224,__export__.product_product_15221_dfd68537,Bajaj / 2W,DH171015,29.0,580.0,580.0,,,
47533,__export__.product_product_47530_6180b82e,Bajaj / 3W,BB151034,0.0,120.0,120.0,,,
49525,__export__.product_product_49522_1ae6bf0d,Bajaj / QUTE,BF581029,0.0,110.0,110.0,,,
37990,__export__.product_product_37987_5fce7fb1,Bajaj / 3W,24121698,0.0,220.0,220.0,,,
47165,__export__.product_product_47162_9f2ce67c,Bajaj / 3W,AN101178,0.0,1460.0,1460.0,,,
39073,__export__.product_product_39070_380d1ece,Bajaj / 3W,AA101844,18.0,1440.0,1440.0,,,
47395,__export__.product_product_47392_36d591f3,Bajaj / 3W,BA122012,0.0,100.0,100.0,,,
16120,__export__.product_product_16117_a45c665c,Bajaj / 2W,DK151089,0.0,1510.0,1510.0,,,
18502,__export__.product_product_18499_228343e4,Bajaj / 2W,JB581272,-1.0,190.0,190.0,,,
32252,__export__.product_product_32249_7db3a36b,Bajaj / 2W,JZ581029,0.0,310.0,310.0,,,
32724,__export__.product_product_32721_c5386145,Bajaj / 2W,PA131003,0.0,120.0,120.0,,,
33242,__export__.product_product_33239_a03ea172,Bajaj / 2W,PF121073,7.0,1440.0,1440.0,,,
39095,__export__.product_product_39092_ce7fabbc,Bajaj / 3W,AA101950,0.0,460.0,460.0,,,
47580,__export__.product_product_47577_75e6fe4b,Bajaj / 3W,BF551626,0.0,910.0,910.0,,,
47579,__export__.product_product_47576_f5c05a99,Bajaj / 3W,BF551613,34.0,1090.0,1090.0,,,
38857,__export__.product_product_38854_f44732ff,Bajaj / 3W,59190002,0.0,530.0,530.0,,,
47515,__export__.product_product_47512_212e4501,Bajaj / 3W,BB121083,0.0,40.0,40.0,,,
17056,__export__.product_product_17053_ce737220,Bajaj / 2W,DT131214,0.0,180.0,180.0,,,
49423,__export__.product_product_49420_129b1cec,Bajaj / QUTE,BF541247,0.0,120.0,120.0,,,
16329,__export__.product_product_16326_2ba4348d,Bajaj / 2W,DL181080,97.0,930.0,930.0,,,
19151,__export__.product_product_19148_3206ce90,Bajaj / 2W,JE581215,-24.0,40.0,40.0,,,
19159,__export__.product_product_19156_a819bab5,Bajaj / 2W,JE581225,-42.0,70.0,70.0,,,
38224,__export__.product_product_38221_51686411,Bajaj / 3W,24171200,0.0,330.0,330.0,,,
