ID,Product/ID,Product/Internal Reference,Counted Quantity
__export__.stock_inventory_line_282447_ac3c75cc,__export__.product_product_39372_3be32718,AA191064,14.0
__export__.stock_inventory_line_282676_46c5940c,__export__.product_product_47466_ee652302,BA191050,23.0
__export__.stock_inventory_line_283238_1ba9fcdf,__export__.product_product_16879_3fbaa4e6,DS191001,49.0
__export__.stock_inventory_line_283243_45d652dd,__export__.product_product_16889_e35063c8,DS191013,13.0
__export__.stock_inventory_line_282449_ed70066a,__export__.product_product_39376_dbb2cb8a,AA191069,29.0
__export__.stock_inventory_line_288708_37fac064,__export__.product_product_47292_451b4a95,AP201121,6.0
__export__.stock_inventory_line_283314_72930afa,__export__.product_product_17433_7d4aa1a4,DU191013,12.0
__export__.stock_inventory_line_283463_8ce8a91b,__export__.product_product_18320_3d387222,JA621414,7.0
__export__.stock_inventory_line_283892_d4c46046,__export__.product_product_32011_969abc6d,JZ161221,9.0
__export__.stock_inventory_line_283956_c9577065,__export__.product_product_47840_cd1444ff,KPBF6305,32.0
__export__.stock_inventory_line_281984_9f01f2c2,__export__.product_product_12753_805bbacd,39219019,567.0
__export__.stock_inventory_line_283445_f71f5411,__export__.product_product_18228_a6a468fe,JA541225,140.0
__export__.stock_inventory_line_282511_57540883,__export__.product_product_46819_11b16df0,AB151093,106.0
__export__.stock_inventory_line_281994_f8955761,__export__.product_product_38788_a77820ea,39252820,141.0
__export__.stock_inventory_line_283559_3e51c88e,__export__.product_product_18893_8c595228,JD521002,815.0
__export__.stock_inventory_line_281947_0ca48048,__export__.product_product_38697_9439cf71,39143520,125.0
__export__.stock_inventory_line_287934_cdbedcc6,__export__.product_product_38872_fa88bd0b,AA101050,2.0
__export__.stock_inventory_line_282235_50a2d3d0,__export__.product_product_38873_64645c5b,AA101051,8.0
__export__.stock_inventory_line_282236_45c539f5,__export__.product_product_38874_8c08f849,AA101052,6.0
__export__.stock_inventory_line_287935_5aab2924,__export__.product_product_38875_9d862c42,AA101053,2.0
__export__.stock_inventory_line_282308_9fa8291c,__export__.product_product_39010_4496a94f,AA101588,11.0
__export__.stock_inventory_line_282645_c22e4f98,__export__.product_product_47265_57cbfc54,AP121132,26.0
__export__.stock_inventory_line_291305_c4ef1f8a,__export__.product_product_15867_6e3ddc1a,DJ221003,10.0
__export__.stock_inventory_line_283050_240d1fa9,__export__.product_product_15868_758a6db7,DJ221004,8.0
__export__.stock_inventory_line_292606_f25d8f1e,__export__.product_product_17404_46c578f6,DU181032,2.0
__export__.stock_inventory_line_290729_eae089e5,__export__.product_product_15264_b6fd2f87,DH181127,6.0
__export__.stock_inventory_line_288000_29c48999,__export__.product_product_39002_69a7c261,AA101567,2.0
__export__.stock_inventory_line_282301_02e1875c,__export__.product_product_38998_9a6d5440,AA101555,5.0
__export__.stock_inventory_line_288159_56016bb7,__export__.product_product_39250_c6ccb6cd,AA131002,10.0
__export__.stock_inventory_line_282905_24203381,__export__.product_product_15026_5a4d93da,DH111072,12.0
__export__.stock_inventory_line_292136_919c37d6,__export__.product_product_16862_a98ede11,DS181036,7.0
__export__.stock_inventory_line_281431_68726286,__export__.product_product_37773_93993a0e,22181058,14.0
__export__.stock_inventory_line_281433_1d35deef,__export__.product_product_37782_686fba5c,22191097,19.0
__export__.stock_inventory_line_284837_f73785a5,__export__.product_product_38139_530e965f,24151290,10.0
__export__.stock_inventory_line_281734_c54529cd,__export__.product_product_38501_c244c379,36AB4015,41.0
__export__.stock_inventory_line_281884_4e85d18f,__export__.product_product_12387_12d74e9e,36PA0042,29.0
__export__.stock_inventory_line_282262_2ff99bf6,__export__.product_product_38917_561e88e4,AA101207,34.0
__export__.stock_inventory_line_282450_9f133031,__export__.product_product_39378_959938c8,AA191071,33.0
__export__.stock_inventory_line_282678_4f49a0ca,__export__.product_product_47468_06b53744,BA191052,30.0
__export__.stock_inventory_line_281995_635614f4,__export__.product_product_12812_7b5412d9,39253105,13.0
__export__.stock_inventory_line_296350_9e750639,__export__.product_product_32140_cddda7ca,JZ401012,5.0
__export__.stock_inventory_line_281690_4bac89d8,__export__.product_product_38423_d9107dbf,36224004,19.0
