name,Accounting Date,Product/Internal Reference,Counted Quantity
PRIBDM2022012908914,2022-01-29,CMUDD191019,1.0
PRIBDM2022012908914,2022-01-29,CMU24150501,1.0
PRIBDM2022012908917,2022-01-29,SVA0010,10.0
PRIBDM2022012908917,2022-01-29,CMU24150501,10.0
PRIBDM2022012908917,2022-01-29,CMUDD191019,10.0
PRIBDM2022012908920,2022-01-29,24201421,10.0
PRIBDM2022012908920,2022-01-29,35101059,15.0
PRIBDM2022012908920,2022-01-29,JC101145,5.0
PRIBDM2022012908920,2022-01-29,JV511013,3.0
PRIBDM2022012908920,2022-01-29,36BA4043,15.0
PRIBDM2022012908920,2022-01-29,36JK0031,6.0
PRIBDM2022012908920,2022-01-29,36JZ0024,6.0
PRIBDM2022012908920,2022-01-29,AA101564,100.0
PRIBDM2022012908920,2022-01-29,AA101565,100.0
PRIBDM2022012908920,2022-01-29,AA101569,30.0
PRIBDM2022012908920,2022-01-29,AA101666,10.0
PRIBDM2022012908920,2022-01-29,AA111052,15.0
PRIBDM2022012908920,2022-01-29,AA111072,3.0
PRIBDM2022012908920,2022-01-29,AA201012,6.0
PRIBDM2022012908920,2022-01-29,AA201185,25.0
PRIBDM2022012908920,2022-01-29,AA201239,10.0
PRIBDM2022012908920,2022-01-29,AB101067,25.0
PRIBDM2022012908920,2022-01-29,AB151063,10.0
PRIBDM2022012908920,2022-01-29,AL121062,10.0
PRIBDM2022012908920,2022-01-29,AN101012,30.0
PRIBDM2022012908920,2022-01-29,DK211008,5.0
PRIBDM2022012908920,2022-01-29,24170508,4.0
PRIBDM2022012908920,2022-01-29,AA201570,2.0
PRIBDM2022012908923,2022-01-29,28101118,30.0
PRIBDM2022012908923,2022-01-29,36DS1002,20.0
PRIBDM2022012908923,2022-01-29,36DU4026,20.0
PRIBDM2022012908923,2022-01-29,AA101666,10.0
PRIBDM2022012908923,2022-01-29,AN101190,15.0
PRIBDM2022012908923,2022-01-29,CB101114,100.0
PRIBDM2022012908923,2022-01-29,CS101128,50.0
