name,Include Exhausted Products,line_ids/product_id/id,line_ids/location_id/id,line_ids/product_qty
,,__export__.product_product_13038_e509ac88,stock.stock_location_stock,5.0
,,__export__.product_product_39003_95b0f54e,stock.stock_location_stock,118.0
,,__export__.product_product_39016_87c85ca4,stock.stock_location_stock,29.0
,,__export__.product_product_47072_64765fd4,stock.stock_location_stock,6.0
,,__export__.product_product_15026_5a4d93da,stock.stock_location_stock,17.0
,,__export__.product_product_18761_0066a02a,stock.stock_location_stock,19.0
,,__export__.product_product_18862_b7308f91,stock.stock_location_stock,6.0
,,__export__.product_product_16022_360e9fc0,stock.stock_location_stock,23.0
,,__export__.product_product_16396_fa8060d2,stock.stock_location_stock,30.0
,,__export__.product_product_16772_7749e976,stock.stock_location_stock,48.0
,,__export__.product_product_17445_d09bdc85,stock.stock_location_stock,5.0
,,__export__.product_product_19013_0a22e805,stock.stock_location_stock,10.0
,,__export__.product_product_23664_bf98f305,stock.stock_location_stock,16.0
,,__export__.product_product_32227_5fff12ca,stock.stock_location_stock,72.0
,,__export__.product_product_18859_f431109b,stock.stock_location_stock,17.0
,,__export__.product_product_16244_e48ea4e5,stock.stock_location_stock,2.0
,,__export__.product_product_18252_c36ab937,stock.stock_location_stock,16.0
PRIBDM2021061900292,True,__export__.product_product_38204_1b275c76,stock.stock_location_stock,54.0
,,__export__.product_product_38440_8b28e8e0,stock.stock_location_stock,44.0
,,__export__.product_product_38527_7cb45b66,stock.stock_location_stock,48.0
,,__export__.product_product_11782_1a386292,stock.stock_location_stock,60.0
,,__export__.product_product_11806_19d11b17,stock.stock_location_stock,40.0
,,__export__.product_product_38972_d704bdb5,stock.stock_location_stock,108.0
,,__export__.product_product_39169_7640e93d,stock.stock_location_stock,28.0
,,__export__.product_product_17752_f2c5b76e,stock.stock_location_stock,57.0
,,__export__.product_product_46908_3102356b,stock.stock_location_stock,45.0
PRIBDM2021061900293,True,__export__.product_product_12272_e636fe14,stock.stock_location_stock,20.0
PRIBDM2021061900294,True,__export__.product_product_11773_dc7dfd0d,stock.stock_location_stock,86.0
,,__export__.product_product_12644_aab814c5,stock.stock_location_stock,225.0
,,__export__.product_product_14582_42e790df,stock.stock_location_stock,50.0
,,__export__.product_product_14993_4fa80b33,stock.stock_location_stock,5.0
,,__export__.product_product_15056_33c87146,stock.stock_location_stock,22.0
,,__export__.product_product_16711_0e210be7,stock.stock_location_stock,23.0
,,__export__.product_product_16906_73b17ca3,stock.stock_location_stock,11.0
,,__export__.product_product_23271_8ebc4339,stock.stock_location_stock,3.0
,,__export__.product_product_24248_d58be385,stock.stock_location_stock,1.0
PRIBDM2021052804371,True,__export__.product_product_46676_280283c9,stock.stock_location_stock,53.0
,,__export__.product_product_46770_4a6c5144,stock.stock_location_stock,17.0
PRIBDM2021052804373,True,__export__.product_product_47878_d321df7a,stock.stock_location_stock,17.0
,,__export__.product_product_47881_a00bdbc4,stock.stock_location_stock,18.0
PRIBDM2021052804370,True,__export__.product_product_38865_2190d714,stock.stock_location_stock,21.0
,,__export__.product_product_39140_0df98ef0,stock.stock_location_stock,158.0
,,__export__.product_product_47218_f7ed0051,stock.stock_location_stock,2.0
,,__export__.product_product_47318_8d5c8484,stock.stock_location_stock,152.0
PRIBDM2021052804596,True,__export__.product_product_37808_6772fa1c,stock.stock_location_stock,47.0
,,__export__.product_product_38108_adc8cd62,stock.stock_location_stock,151.0
,,__export__.product_product_11191_74ea9be3,stock.stock_location_stock,212.0
,,__export__.product_product_11372_72b44663,stock.stock_location_stock,87.0
,,__export__.product_product_38417_75502bfa,stock.stock_location_stock,49.0
,,__export__.product_product_38442_6d3f8198,stock.stock_location_stock,56.0
,,__export__.product_product_11477_53ef9cbb,stock.stock_location_stock,113.0
,,__export__.product_product_11632_f03fb0a4,stock.stock_location_stock,111.0
,,__export__.product_product_38920_011cfcda,stock.stock_location_stock,661.0
,,__export__.product_product_38983_f7e823a8,stock.stock_location_stock,393.0
,,__export__.product_product_39184_addf96fb,stock.stock_location_stock,83.0
,,__export__.product_product_46846_92d82d48,stock.stock_location_stock,38.0
,,__export__.product_product_14110_99307f6f,stock.stock_location_stock,100.0
,,__export__.product_product_15601_2f33e76c,stock.stock_location_stock,122.0
,,__export__.product_product_16326_2ba4348d,stock.stock_location_stock,149.0
,,__export__.product_product_18884_48a84f25,stock.stock_location_stock,89.0
,,__export__.product_product_15461_9fa87c22,stock.stock_location_stock,140.0
,,__export__.product_product_47169_058cd2ee,stock.stock_location_stock,27.0
