name,Accounting Date,Include Exhausted Products,reference,line_ids/product_id/id,line_ids/location_id/id,line_ids/product_qty
Sales of 2022/04/12,2022-04-12,True,AA191094,__export__.product_product_46661_a7ef76c4,stock.stock_location_stock,20.0
,,,AA191093,__export__.product_product_46660_62900b40,stock.stock_location_stock,21.0
,,,36DH4030,__export__.product_product_11511_7ac7302e,stock.stock_location_stock,61.0
,,,24191075,__export__.product_product_38257_598ab629,stock.stock_location_stock,8.0
,,,JE571007,__export__.product_product_19115_1e68b781,stock.stock_location_stock,23.0
,,,36DU1503,__export__.product_product_11776_45d21b56,stock.stock_location_stock,38.0
Sales of 202204/18,2022-04-18,True,JE511085,__export__.product_product_19001_e61f302a,stock.stock_location_stock,1.0
,,,JE541241,__export__.product_product_19068_d7207ac8,stock.stock_location_stock,2.0
,,,JE571007,__export__.product_product_19115_1e68b781,stock.stock_location_stock,23.0
Sales of 2022/04/19,2022-04-19,True,AA111151,__export__.product_product_39175_ebf38d8c,stock.stock_location_stock,2.0
,,,AA111122,__export__.product_product_39169_7640e93d,stock.stock_location_stock,11.0
Sales of 2022/04/20,2022-04-20,True,AA191085,__export__.product_product_39386_d2227e69,stock.stock_location_stock,2.0
,,,JD76014M,__export__.product_product_18966_37c55a25,stock.stock_location_stock,2.0
,,,36311508,__export__.product_product_11461_bf57dc91,stock.stock_location_stock,14.0
,,,DJ221003,__export__.product_product_15867_6e3ddc1a,stock.stock_location_stock,28.0
,,,DD181184,__export__.product_product_14309_a19b7bc5,stock.stock_location_stock,60.0
,,,DD181183,__export__.product_product_14308_4ef1b792,stock.stock_location_stock,72.0
,,,AA231239,__export__.product_product_46766_d457a267,stock.stock_location_stock,3.0
,,,AA161190,__export__.product_product_39313_2a5e0a74,stock.stock_location_stock,10.0
,,,36AA4025,__export__.product_product_38456_85771566,stock.stock_location_stock,2.0
,,,DH101016,__export__.product_product_14757_9da29210,stock.stock_location_stock,87.0
,,,AA191071,__export__.product_product_39378_959938c8,stock.stock_location_stock,3.0
,,,JV511012,__export__.product_product_24157_f660d768,stock.stock_location_stock,17.0
,,,36DD4008,__export__.product_product_11477_53ef9cbb,stock.stock_location_stock,1.0
,,,36314001K,__export__.product_product_11464_669bfc40,stock.stock_location_stock,18.0
,,,24201487,__export__.product_product_38304_d5932480,stock.stock_location_stock,2.0
,,,DM101140,__export__.product_product_16343_04f3e8a2,stock.stock_location_stock,119.0
,,,AA111122,__export__.product_product_39169_7640e93d,stock.stock_location_stock,10.0
,,,39104219,__export__.product_product_12635_e93d2566,stock.stock_location_stock,142.0
,,,JN521001,__export__.product_product_23886_b85651cd,stock.stock_location_stock,10.0
,,,39215220,__export__.product_product_12740_24c1549f,stock.stock_location_stock,22.0
,,,DS121137,__export__.product_product_16758_db0de073,stock.stock_location_stock,15.0
,,,AA111058,__export__.product_product_39140_0df98ef0,stock.stock_location_stock,34.0
,,,AA111153,__export__.product_product_39176_ca376fb3,stock.stock_location_stock,225.0
,,,DG111008,__export__.product_product_14583_695d257d,stock.stock_location_stock,174.0
,,,AN131039,__export__.product_product_47236_592f80e4,stock.stock_location_stock,434.0
Sales of 2022/04/021,2022-04-21,True,JZ511203,__export__.product_product_32191_7ca29dee,stock.stock_location_stock,3.0
,,,AN101155,__export__.product_product_47154_f65f1cda,stock.stock_location_stock,11.0
,,,AN111009,__export__.product_product_47218_f7ed0051,stock.stock_location_stock,1.0
,,,AA191093,__export__.product_product_46660_62900b40,stock.stock_location_stock,19.0
,,,24191182,__export__.product_product_38277_b94f4406,stock.stock_location_stock,2.0
