name,Accounting Date,Include Exhausted Products,reference,line_ids/product_id/id,line_ids/location_id/id,line_ids/product_qty
PRIBDM2022012105460,2022-01-21,True,24171118,__export__.product_product_38210_a2e80f98,stock.stock_location_stock,10.0
,,,24231522,__export__.product_product_38342_f75f4e7f,stock.stock_location_stock,152.0
,,,24231523,__export__.product_product_38343_6a2ceb7e,stock.stock_location_stock,30.0
,,,31101020,__export__.product_product_11299_fcd68dc8,stock.stock_location_stock,67.0
,,,JZ161207,__export__.product_product_32007_64632c71,stock.stock_location_stock,20.0
,,,JZ161221,__export__.product_product_32011_969abc6d,stock.stock_location_stock,20.0
,,,36281008,__export__.product_product_38440_8b28e8e0,stock.stock_location_stock,54.0
,,,36AN0013,__export__.product_product_38527_7cb45b66,stock.stock_location_stock,29.0
,,,36DS1002,__export__.product_product_11704_29d95dc6,stock.stock_location_stock,70.0
,,,36JA0002,__export__.product_product_11827_f6775ee3,stock.stock_location_stock,24.0
,,,36JZ0001,__export__.product_product_12251_f6e5156c,stock.stock_location_stock,49.0
,,,36PA0004,__export__.product_product_12380_448513ef,stock.stock_location_stock,16.0
,,,AA101013,__export__.product_product_38864_2845f219,stock.stock_location_stock,102.0
,,,AA101057,__export__.product_product_38879_6c70648c,stock.stock_location_stock,13.0
,,,AA101555,__export__.product_product_38998_9a6d5440,stock.stock_location_stock,10.0
,,,AA101569,__export__.product_product_39003_95b0f54e,stock.stock_location_stock,41.0
,,,DD121013,__export__.product_product_14222_0e4fd623,stock.stock_location_stock,100.0
,,,BA132141,__export__.product_product_47426_63b35f52,stock.stock_location_stock,51.0
,,,DJ151087,__export__.product_product_15611_834c1ff0,stock.stock_location_stock,2.0
,,,DK201003,__export__.product_product_16251_9d2c4ada,stock.stock_location_stock,6.0
,,,DS101096,__export__.product_product_16638_8ddb947e,stock.stock_location_stock,91.0
,,,DS101335,__export__.product_product_16701_ae605f2e,stock.stock_location_stock,2.0
,,,DS101336,__export__.product_product_16702_0d0af492,stock.stock_location_stock,29.0
,,,DS161077,__export__.product_product_16810_b8d2edc6,stock.stock_location_stock,10.0
,,,JE511209,__export__.product_product_19010_5450df0f,stock.stock_location_stock,12.0
,,,JW232601,__export__.product_product_24233_6f254c99,stock.stock_location_stock,2.0
PRIBDM2022012105464,2022-01-21,True,36DH4014,__export__.product_product_11501_456e5371,stock.stock_location_stock,50.0
,,,36DH4015,__export__.product_product_11502_d8e1aeea,stock.stock_location_stock,77.0
,,,36JW0013,__export__.product_product_12190_9723b812,stock.stock_location_stock,13.0
,,,36PF0061,__export__.product_product_12536_126adb2f,stock.stock_location_stock,10.0
,,,52DM0086,__export__.product_product_13100_8f8a86a7,stock.stock_location_stock,3.0
,,,JE511251,__export__.product_product_19026_b6fe3963,stock.stock_location_stock,5.0
,,,JE541038,__export__.product_product_19046_a28f5a08,stock.stock_location_stock,3.0
,,,DH161240,__export__.product_product_15159_b35c8d43,stock.stock_location_stock,48.0
,,,52DU0579,__export__.product_product_13164_d4c41923,stock.stock_location_stock,6.0
,,,52DU0586,__export__.product_product_13169_1fe815d0,stock.stock_location_stock,2.0
