name,Include Exhausted Products,reference,line_ids/product_id/id,line_ids/location_id/id,line_ids/product_qty,Accounting Date
PRIBDM2021122305923,True,36311006,__export__.product_product_11456_4154bc3e,stock.stock_location_stock,31.0,2021-12-23
,,36311028,__export__.product_product_11459_97dc2790,stock.stock_location_stock,49.0,
,,36JE0012,__export__.product_product_11895_c83ab709,stock.stock_location_stock,8.0,
,,36JZ0002,__export__.product_product_12252_aa9afabd,stock.stock_location_stock,9.0,
,,DD121181,__export__.product_product_14243_470851c1,stock.stock_location_stock,131.0,
,,DH101864,__export__.product_product_14955_b2339f87,stock.stock_location_stock,10.0,
,,JN521001,__export__.product_product_23886_b85651cd,stock.stock_location_stock,8.0,
PRIBDM2021122305924,True,DH101006,__export__.product_product_14754_0911f799,stock.stock_location_stock,48.0,2021-12-23
,,DH101154,__export__.product_product_14800_9ce1343b,stock.stock_location_stock,100.0,
,,JE511038,__export__.product_product_18993_e67b16a0,stock.stock_location_stock,51.0,
,,JL541208,__export__.product_product_23680_a0920f9f,stock.stock_location_stock,59.0,
,,DM101139,__export__.product_product_16342_58194f41,stock.stock_location_stock,112.0,
,,DM101140,__export__.product_product_16343_04f3e8a2,stock.stock_location_stock,189.0,
,,DV101042,__export__.product_product_17561_25d7b59e,stock.stock_location_stock,74.0,
,,JA541205,__export__.product_product_18217_3446076a,stock.stock_location_stock,97.0,
,,JA541212,__export__.product_product_18221_f8c7c29e,stock.stock_location_stock,81.0,
PRIBDM2021122305925,True,24151171,__export__.product_product_38108_adc8cd62,stock.stock_location_stock,59.0,2021-12-23
,,30151105,__export__.product_product_11238_926c2a15,stock.stock_location_stock,123.0,
,,31151060,__export__.product_product_11385_a84e059b,stock.stock_location_stock,33.0,
,,36DD4008K,__export__.product_product_11478_bf01b8d8,stock.stock_location_stock,48.0,
,,DJ151071,__export__.product_product_15601_2f33e76c,stock.stock_location_stock,45.0,
PRIBDM2021122305926,True,36DH4103,__export__.product_product_11542_d66f7741,stock.stock_location_stock,9.0,2021-12-23
,,36JF0117,__export__.product_product_11956_f43895d8,stock.stock_location_stock,6.0,
PRIBDM2021122305927,True,AE101016,__export__.product_product_46883_64fd3e49,stock.stock_location_stock,39.0,2021-12-23
,,JD511201,__export__.product_product_18885_785341a9,stock.stock_location_stock,34.0,
,,JD511202,__export__.product_product_18886_cdf248f5,stock.stock_location_stock,46.0,
PRIBDM2021122305928,True,39186919,__export__.product_product_38758_11bd8c25,stock.stock_location_stock,144.0,2021-12-23
,,AA121006,__export__.product_product_39184_addf96fb,stock.stock_location_stock,128.0,
,,AA231255,__export__.product_product_46770_4a6c5144,stock.stock_location_stock,11.0,
,,AN101190,__export__.product_product_47169_058cd2ee,stock.stock_location_stock,58.0,
,,DD111018,__export__.product_product_14214_7e3a22e8,stock.stock_location_stock,276.0,
,,JB401400,__export__.product_product_18425_75a72d39,stock.stock_location_stock,6.0,
,,BH184000,__export__.product_product_47657_2fa25916,stock.stock_location_stock,5.0,
PRIBDM2021122305930,True,36AN0010,__export__.product_product_38522_febe14be,stock.stock_location_stock,54.0,2021-12-23
,,AA101446,__export__.product_product_38972_d704bdb5,stock.stock_location_stock,56.0,
,,AN101123,__export__.product_product_47142_6ac208e3,stock.stock_location_stock,33.0,
PRIBDM2021122305931,True,36AA4042,__export__.product_product_38465_b0e8d713,stock.stock_location_stock,49.0,2021-12-23
,,AN101123,__export__.product_product_47142_6ac208e3,stock.stock_location_stock,25.0,
,,DZ141040,__export__.product_product_17698_06364aa8,stock.stock_location_stock,20.0,
,,JZ402403,__export__.product_product_32178_1113ea74,stock.stock_location_stock,5.0,
PRIBDM2021122305932,True,24151171,__export__.product_product_38108_adc8cd62,stock.stock_location_stock,74.0,2021-12-23
,,36DH4025,__export__.product_product_11508_83130106,stock.stock_location_stock,32.0,
,,DH101344,__export__.product_product_14844_8bf469c1,stock.stock_location_stock,86.0,
,,DS101319,__export__.product_product_16698_51e74b4f,stock.stock_location_stock,39.0,
PRIRSQ2021122305929,True,36DS1502,__export__.product_product_11713_fbd90f52,stock.stock_location_stock,49.0,2021-12-23
,,JY551402,__export__.product_product_31791_b20b53ea,stock.stock_location_stock,10.0,
,,DK101560,__export__.product_product_15977_48fedd14,stock.stock_location_stock,1.0,
