name,Product/Internal Reference,Counted Quantity
Sales of 2021/11/19,31101038,1.0
Sales of 2021/11/19,DU74013H,1.0
Sales of 2021/11/19,DJ161128,1.0
Sales of 2021/11/19,DJ161129,1.0
Sales of 2021/11/19,36DS1002,1.0
Sales of 2021/11/19,03100621,1.0
Sales of 2021/11/19,AN101186,-1.0
Sales of 2021/11/19,AN101190,-1.0
Sales of 2021/11/19,36AB4015,-1.0
Sales of 2021/11/19,DJ101064,-1.0
Sales of 2021/11/19,36DU4017,-1.0
Sales of 2021/11/19,52DH1357,-1.0
Sales of 2021/11/19,DJ161221,-1.0
Sales of 2021/11/19,DJ161254,-1.0
Sales of 2021/11/19,AA111082,-3.0
Sales of 2021/11/19,AA111085K,-5.0
Sales of 2021/11/19,39100820,-5.0
Sales of 2021/11/19,DF121003,-4.0
Sales of 2021/11/19,DH101188,-4.0
Sales of 2021/11/17,JD561414,1.0
Sales of 2021/11/17,DX101051,1.0
Sales of 2021/11/17,AB151074,5.0
Sales of 2021/11/17,52240483,1.0
Sales of 2021/11/17,JA541212,1.0
Sales of 2021/11/17,DJ191023,1.0
Sales of 2021/11/17,DK101755,2.0
Sales of 2021/11/17,52DH0547,1.0
Sales of 2021/11/17,AN101123,5.0
Sales of 2021/11/17,AA191091,-3.0
Sales of 2021/11/17,JY551402,-1.0
Sales of 2021/11/17,31111056,-7.0
Sales of 2021/11/17,JN131807,-2.0
Sales of 2021/11/17,DE151013,-1.0
Sales of 2021/11/17,DU181070,-1.0
Sales of 2021/11/16,39253105,1.0
Sales of 2021/11/16,DJ151033,1.0
Sales of 2021/11/16,31101018,5.0
Sales of 2021/11/16,AA101058,5.0
Sales of 2021/11/16,AA101138,3.0
Sales of 2021/11/16,AA101843,3.0
Sales of 2021/11/16,AA101875,4.0
Sales of 2021/11/16,36AA4025,1.0
Sales of 2021/11/16,CMUDS191001,1.0
Sales of 2021/11/16,52240483,-1.0
Sales of 2021/11/16,AA191093,-1.0
Sales of 2021/11/16,DS101072,-5.0
Sales of 2021/11/16,JA541212,-5.0
Sales of 2021/11/16,DM101139,-5.0
Sales of 2021/11/16,CS101128,-30.0
Sales of 2021/11/16,30181023,-20.0
Sales of 2021/11/16,PF351224,-1.0
Sales of 2021/11/16,DS181066,-2.0
