ID,Product/ID,Product/Internal Reference,Counted Quantity
__export__.stock_inventory_line_166061_dbf8ea23,__export__.product_product_39116_54854f3e,AA102094,3.0
__export__.stock_inventory_line_166304_e7c18d2a,__export__.product_product_47152_40778cfa,AN101149,12.0
__export__.stock_inventory_line_165896_9b69f4ff,__export__.product_product_13746_5e43a518,52PF1156,23.0
__export__.stock_inventory_line_166238_79fe8791,__export__.product_product_46846_92d82d48,AB171044,7.0
__export__.stock_inventory_line_166694_db9733d0,__export__.product_product_15586_3f2a3f9d,DJ151041,5.0
__export__.stock_inventory_line_166169_66c2ea36,__export__.product_product_39386_d2227e69,AA191085,23.0
__export__.stock_inventory_line_165365_cbbb3796,__export__.product_product_11238_926c2a15,30151105,95.0
__export__.stock_inventory_line_167060_e73559e0,__export__.product_product_17630_cc6741f2,DX121010,69.0
__export__.stock_inventory_line_166374_215d0841,__export__.product_product_47318_8d5c8484,AZ351207,35.0
__export__.stock_inventory_line_166070_8e7a9a6f,__export__.product_product_39140_0df98ef0,AA111058,31.0
__export__.stock_inventory_line_165647_01948439,__export__.product_product_38594_155e90e4,39029615,549.0
__export__.stock_inventory_line_165178_4966a71d,__export__.product_product_37782_686fba5c,22191097,-4.0
__export__.stock_inventory_line_166075_eee3ac07,__export__.product_product_39154_65c7a6c5,AA111085,24.0
__export__.stock_inventory_line_165446_28e3397f,__export__.product_product_38444_a08a3fc7,36AA1004,21.0
__export__.stock_inventory_line_165289_b49fb0f8,__export__.product_product_38195_951f62a8,24171024,44.0
__export__.stock_inventory_line_165485_b62eca47,__export__.product_product_38538_83c184cf,36BA4042,20.0
__export__.stock_inventory_line_165271_023aee19,__export__.product_product_38138_d58ea1c1,24151289,9.0
__export__.stock_inventory_line_165547_966596a6,__export__.product_product_11804_086d0f0e,36DV0007,19.0
__export__.stock_inventory_line_165354_fa7e22b7,__export__.product_product_11202_aa67afe9,30101236,535.0
__export__.stock_inventory_line_165861_abe58486,__export__.product_product_49955_857862cf,52Jl0066(YL),1.0
