name,Include Exhausted Products,reference,line_ids/product_id/id,line_ids/location_id/id,line_ids/product_qty
Sales of 2021/09/14,True,36311006,__export__.product_product_11456_4154bc3e,stock.stock_location_stock,149.0
,,DS101277,__export__.product_product_16690_9cb03956,stock.stock_location_stock,2.0
,,30151105,__export__.product_product_11238_926c2a15,stock.stock_location_stock,38.0
,,36DS1004,__export__.product_product_11706_899b1546,stock.stock_location_stock,123.0
,,AP201029,__export__.product_product_14061_dd5f9676,stock.stock_location_stock,7.0
,,DS101036,__export__.product_product_16613_fd429184,stock.stock_location_stock,439.0
Sales of 2021/09/15,True,36DK0076,__export__.product_product_11677_13542f05,stock.stock_location_stock,2.0
,,52JB0231,__export__.product_product_13229_294af31e,stock.stock_location_stock,14.0
,,36PA0042,__export__.product_product_12387_12d74e9e,stock.stock_location_stock,12.0
Sales of 2021/09/18,True,39102821,__export__.product_product_12632_045d2397,stock.stock_location_stock,5.0
,,AB151095,__export__.product_product_46821_5dace541,stock.stock_location_stock,35.0
,,AB151093,__export__.product_product_46819_11b16df0,stock.stock_location_stock,118.0
,,AA191092,__export__.product_product_39388_2e2ed593,stock.stock_location_stock,28.0
,,DU101218KA,__export__.product_product_17293_e8ea9a7f,stock.stock_location_stock,22.0
,,39103519,__export__.product_product_38666_4cd4757b,stock.stock_location_stock,665.0
,,31101033,__export__.product_product_11302_89b7fcaf,stock.stock_location_stock,445.0
,,36311006,__export__.product_product_11456_4154bc3e,stock.stock_location_stock,149.0
,,DM101139,__export__.product_product_16342_58194f41,stock.stock_location_stock,47.0
,,DM101140,__export__.product_product_16343_04f3e8a2,stock.stock_location_stock,53.0
,,36DU4026,__export__.product_product_11783_134df709,stock.stock_location_stock,31.0
,,JZ161210,__export__.product_product_32009_08a82540,stock.stock_location_stock,3.0
,,36AA4007,__export__.product_product_38445_ca90d74a,stock.stock_location_stock,23.0
,,PF581423,__export__.product_product_33491_65d9adcc,stock.stock_location_stock,2.0
,,AA101143,__export__.product_product_38905_61fd67bb,stock.stock_location_stock,11.0
,,JW131809,__export__.product_product_24185_00de8444,stock.stock_location_stock,19.0
,,DJ151057,__export__.product_product_15594_75da1cf0,stock.stock_location_stock,0.0
,,JZ161204,__export__.product_product_32006_26924e22,stock.stock_location_stock,28.0
