Product/Internal Reference,Counted Quantity
39103519,100.0
39143520,20.0
39219019,50.0
39252820,20.0
JD521002,100.0
AA101446,5.0
AA131063,20.0
AB151093,20.0
DH111034,10.0
DU101218,5.0
JA541225,50.0
30151105,5.0
31151060,5.0
DJ151071,5.0
BH184000,3.0
AF201036,15.0
36DU4085,7.0
JD231201,5.0
PF161010,6.0
DH102272,10.0
DJ191081,10.0
DX191001,30.0
56JK2323,2.0
56DU0423,4.0
DS171002,1.0
36BA4039,30.0
AA101499,8.0
AA111153,40.0
AA201012,15.0
AF201036,40.0
6305(NACHi),120.0
