name,Accounting Date,Include Exhausted Products,reference,line_ids/product_id/id,line_ids/location_id/id,line_ids/product_qty
Sales of 2020/04/04,2020/04/04,True,36AN0013,__export__.product_product_38527_7cb45b66,stock.stock_location_stock,0.0
,,,AA101512,__export__.product_product_38994_bab18a1b,stock.stock_location_stock,49.0
,,,AA101692,__export__.product_product_39036_943f20cf,stock.stock_location_stock,45.0
,,,DU111006,__export__.product_product_17307_46f9714e,stock.stock_location_stock,0.0
Sales of 2022/04/06,2022/04/06,True,36DU1503,__export__.product_product_11776_45d21b56,stock.stock_location_stock,38.0
,,,CD101008,__export__.product_product_47667_2ced2849,stock.stock_location_stock,6.0
,,,AA111157,__export__.product_product_39179_2db6f972,stock.stock_location_stock,30.0
,,,52PA0536,__export__.product_product_13662_0f8f90d1,stock.stock_location_stock,9.0
,,,JL401006,__export__.product_product_23604_c7c7f111,stock.stock_location_stock,12.0
,,,JZ401038,__export__.product_product_32147_325bb8be,stock.stock_location_stock,1.0
Sales of 2022/04/05,2022/04/05,True,DJ191081,__export__.product_product_15776_d50d7b50,stock.stock_location_stock,0.0
,,,JB551406,__export__.product_product_18459_1ae34041,stock.stock_location_stock,1.0
,,,36DJ4104,__export__.product_product_11632_f03fb0a4,stock.stock_location_stock,0.0
,,,AA191069,__export__.product_product_39376_dbb2cb8a,stock.stock_location_stock,0.0
,,,39103519,__export__.product_product_38666_4cd4757b,stock.stock_location_stock,600.0
,,,22171007,__export__.product_product_37763_f58fcc70,stock.stock_location_stock,160.0
,,,39201719,__export__.product_product_12732_708a75a8,stock.stock_location_stock,145.0
,,,52JB0231,__export__.product_product_13229_294af31e,stock.stock_location_stock,4.0
,,,JD521002,__export__.product_product_18893_8c595228,stock.stock_location_stock,184.0
,,,JB511019,__export__.product_product_18440_abc96635,stock.stock_location_stock,22.0
,,,JD511010,__export__.product_product_18884_48a84f25,stock.stock_location_stock,50.0
,,,24130209,__export__.product_product_37997_bd3dbfa3,stock.stock_location_stock,54.0
,,,AL201012,__export__.product_product_47070_d6076684,stock.stock_location_stock,34.0
,,,DD121181,__export__.product_product_14243_470851c1,stock.stock_location_stock,117.0
,,,01100342,__export__.product_product_37514_bf42a276,stock.stock_location_stock,1.0
,,,59200012,__export__.product_product_38855_34d7d6f2,stock.stock_location_stock,52.0
,,,24171024,__export__.product_product_38195_951f62a8,stock.stock_location_stock,179.0
Sales of 2022/04/07,2022/04/07,True,DU201010,__export__.product_product_17460_8ed1dc65,stock.stock_location_stock,1.0
,,,DK101564,__export__.product_product_15980_ca318525,stock.stock_location_stock,5.0
,,,36AA4042,__export__.product_product_38465_b0e8d713,stock.stock_location_stock,39.0
,,,DH101016,__export__.product_product_14757_9da29210,stock.stock_location_stock,84.0
,,,JZ511016,__export__.product_product_32186_251cbe2d,stock.stock_location_stock,37.0
,,,DH101680,__export__.product_product_14931_858b8efc,stock.stock_location_stock,0.0
,,,DS101076,__export__.product_product_16633_2e546c31,stock.stock_location_stock,108.0
,,,JA541212,__export__.product_product_18221_f8c7c29e,stock.stock_location_stock,51.0
,,,DS101072,__export__.product_product_16630_4ea0250e,stock.stock_location_stock,59.0
,,,DJ191008,__export__.product_product_15738_7a9503ee,stock.stock_location_stock,2.0
,,,AA191068,__export__.product_product_39375_7d7dc136,stock.stock_location_stock,2.0
,,,36DS1004,__export__.product_product_11706_899b1546,stock.stock_location_stock,109.0
,,,AF201036,__export__.product_product_46951_c231835c,stock.stock_location_stock,7.0
,,,PD531029,__export__.product_product_33166_a85d3099,stock.stock_location_stock,30.0
,,,DH101098,__export__.product_product_14781_ecd4ff37,stock.stock_location_stock,5.0
,,,AA101598,__export__.product_product_39016_87c85ca4,stock.stock_location_stock,0.0
,,,36AA4105,__export__.product_product_38485_197504bc,stock.stock_location_stock,10.0
,,,36BA4039,__export__.product_product_38537_13f3269f,stock.stock_location_stock,7.0
,,,AA101004,__export__.product_product_38862_55a5d69f,stock.stock_location_stock,57.0
,,,AA111074,__export__.product_product_39144_e7fbf44f,stock.stock_location_stock,39.0
,,,AA191071,__export__.product_product_39378_959938c8,stock.stock_location_stock,8.0
,,,JZ181299,__export__.product_product_32059_d5537efd,stock.stock_location_stock,6.0
,,,JF161201,__export__.product_product_22437_af69b0ed,stock.stock_location_stock,3.0
Sales of 2022/04/08,2022/04/08,True,DJ201176,__export__.product_product_15835_8ecc8bc5,stock.stock_location_stock,1.0
,,,52DJ0566,__export__.product_product_13038_e509ac88,stock.stock_location_stock,3.0
,,,DJ181033,__export__.product_product_15694_741f0d86,stock.stock_location_stock,11.0
,,,DH161292,__export__.product_product_15167_3fd492c4,stock.stock_location_stock,7.0
Sales of 2022/04/09,2022/04/09,True,BA132172,__export__.product_product_47429_fcfa490a,stock.stock_location_stock,0.0
,,,AA191085,__export__.product_product_39386_d2227e69,stock.stock_location_stock,2.0
,,,DJ191081,__export__.product_product_15776_d50d7b50,stock.stock_location_stock,1.0
Sales of 2022/04/11,2022/04/11,True,JL121008,__export__.product_product_23363_d011a614,stock.stock_location_stock,11.0
,,,24130209,__export__.product_product_37997_bd3dbfa3,stock.stock_location_stock,53.0
,,,DJ191059,__export__.product_product_15770_7ff11d92,stock.stock_location_stock,6.0
,,,DJ151067,__export__.product_product_15597_76cd39f1,stock.stock_location_stock,1.0
,,,JL181203,__export__.product_product_23481_07002a0a,stock.stock_location_stock,5.0
,,,JL401012,__export__.product_product_23605_7b2467c0,stock.stock_location_stock,8.0
