name,Include Exhausted Products,reference,line_ids/product_id/id,line_ids/location_id/id,line_ids/product_qty
"Sales of 2021/07/14,15",True,AN111015,__export__.product_product_47220_e8ae781d,stock.stock_location_stock,4.0
,,AN101190,__export__.product_product_47169_058cd2ee,stock.stock_location_stock,4.0
,,30151105,__export__.product_product_11238_926c2a15,stock.stock_location_stock,38.0
,,AA101472,__export__.product_product_38983_f7e823a8,stock.stock_location_stock,231.0
,,36AA4025,__export__.product_product_38456_85771566,stock.stock_location_stock,20.0
,,AA101750,__export__.product_product_39048_6fbb62ab,stock.stock_location_stock,40.0
,,24130209(YL),__export__.product_product_50169_99a2d75e,stock.stock_location_stock,17.0
,,JN581203,__export__.product_product_23903_5383849c,stock.stock_location_stock,2.0
,,05101018,__export__.product_product_37584_f5648c75,stock.stock_location_stock,11.0
,,36AN0013,__export__.product_product_38527_7cb45b66,stock.stock_location_stock,25.0
,,AA111156,__export__.product_product_39178_a073b0eb,stock.stock_location_stock,12.0
,,DJ151037,__export__.product_product_15583_b78a9704,stock.stock_location_stock,19.0
,,DJ151036,__export__.product_product_15582_a2f264bf,stock.stock_location_stock,3.0
,,AN101186,__export__.product_product_47166_589beacb,stock.stock_location_stock,30.0
,,24231239,__export__.product_product_38335_7fa991a6,stock.stock_location_stock,5.0
,,36AA4033,__export__.product_product_38461_229c483c,stock.stock_location_stock,19.0
,,AA161283,__export__.product_product_39324_a0781749,stock.stock_location_stock,8.0
,,DM101139,__export__.product_product_16342_58194f41,stock.stock_location_stock,137.0
,,DD101309,__export__.product_product_14181_3ea4832d,stock.stock_location_stock,16.0
,,DK151073,__export__.product_product_16109_a9111281,stock.stock_location_stock,10.0
,,39108019,__export__.product_product_12644_aab814c5,stock.stock_location_stock,171.0
,,39104219,__export__.product_product_12635_e93d2566,stock.stock_location_stock,7.0
,,JZ401403,__export__.product_product_32159_f47f078c,stock.stock_location_stock,5.0
,,AA121336,__export__.product_product_39249_6b5e9159,stock.stock_location_stock,27.0
,,DJ101216,__export__.product_product_15484_254e9189,stock.stock_location_stock,6.0
,,DH102210,__export__.product_product_14988_e6e7a1dd,stock.stock_location_stock,8.0
,,DH102211,__export__.product_product_14989_9a964488,stock.stock_location_stock,18.0
,,DH101795,__export__.product_product_47687_4cece32a,stock.stock_location_stock,43.0
