name,Accounting Date,Include Exhausted Products,reference,line_ids/product_id/id,line_ids/location_id/id,line_ids/product_qty
PRIBDM2022083104403,2022-09-08,True,24191086,__export__.product_product_38262_05cbed1a,stock.stock_location_stock,5.0
,,,31101124,__export__.product_product_11326_d0875521,stock.stock_location_stock,5.0
,,,AA171011,__export__.product_product_39342_f84effec,stock.stock_location_stock,10.0
,,,CMUAA191068,__export__.product_product_50865_0a06917d,stock.stock_location_stock,16.0
,,,DJ171033,__export__.product_product_15685_c57a5439,stock.stock_location_stock,17.0
,,,JA551419,__export__.product_product_18256_adc5620d,stock.stock_location_stock,44.0
,,,CMU24191092,__export__.product_product_50300_75095a30,stock.stock_location_stock,10.0
,,,CMUAA191010,__export__.product_product_50867_9a7e99f5,stock.stock_location_stock,13.0
,,,CMUAA191091,__export__.product_product_50877_5e8cf5f3,stock.stock_location_stock,16.0
,,,DT581062,__export__.product_product_17233_49b6bcdd,stock.stock_location_stock,9.0
,,,JE511230,__export__.product_product_19017_83e7f648,stock.stock_location_stock,15.0
,,,JZ351215,__export__.product_product_32136_6f26d458,stock.stock_location_stock,2.0
,,,PA181276,__export__.product_product_32794_d08912b6,stock.stock_location_stock,5.0
,,,YPA13002,__export__.product_product_37446_38e7d475,stock.stock_location_stock,5.0
,,,DH181064,__export__.product_product_15240_6cc3ba20,stock.stock_location_stock,3.0
,,,AA101334,__export__.product_product_38955_29e717eb,stock.stock_location_stock,7.0
,,,CMUAA191064,__export__.product_product_50221_d706f23b,stock.stock_location_stock,12.0
,,,CMUJD161201,__export__.product_product_50233_148e7cbf,stock.stock_location_stock,10.0
PRIBDM2022083104404,2022-09-08,True,39100320,__export__.product_product_12621_beeb0a72,stock.stock_location_stock,21.0
,,,39200811,__export__.product_product_38771_d1ebcd5a,stock.stock_location_stock,100.0
,,,AA101138,__export__.product_product_38901_6eaa758d,stock.stock_location_stock,40.0
,,,AN111015,__export__.product_product_47220_e8ae781d,stock.stock_location_stock,17.0
,,,DH101877,__export__.product_product_14958_496d2e37,stock.stock_location_stock,6.0
,,,DH201080,__export__.product_product_15316_cf028e48,stock.stock_location_stock,13.0
,,,JB551408,__export__.product_product_18460_0f7cfaa4,stock.stock_location_stock,24.0
,,,JB551411,__export__.product_product_18462_724be337,stock.stock_location_stock,24.0
,,,AA101139,__export__.product_product_38902_a44e9593,stock.stock_location_stock,50.0
PRIBDM2022083104633,2022-09-08,True,CMUAA191010,__export__.product_product_50867_9a7e99f5,stock.stock_location_stock,4.0
,,,CMUAA191068,__export__.product_product_50865_0a06917d,stock.stock_location_stock,7.0
,,,CMUAA191091,__export__.product_product_50877_5e8cf5f3,stock.stock_location_stock,7.0
,,,CMUAA191064,__export__.product_product_50221_d706f23b,stock.stock_location_stock,3.0
PRIBDM2022083104755,2022-09-08,True,01100342K,__export__.product_product_37515_dbde506e,stock.stock_location_stock,104.0
