name,Accounting Date,Include Exhausted Products,reference,line_ids/product_id/id,line_ids/location_id/id,line_ids/product_qty
,,39171519,__export__.product_product_38735_aae7f1e9,stock.stock_location_stock,38.0
Sales of 2021/11/27,True,39171519,__export__.product_product_38735_aae7f1e9,stock.stock_location_stock,33.0
,,AB151074,__export__.product_product_46813_f800696f,stock.stock_location_stock,26.0
,,DH111034,__export__.product_product_15020_1a12903d,stock.stock_location_stock,32.0
,,JA351609,__export__.product_product_18154_a62db45c,stock.stock_location_stock,17.0
,,DS121113,__export__.product_product_16752_4016fcd8,stock.stock_location_stock,16.0
,,DH101188,__export__.product_product_14813_6613f0a6,stock.stock_location_stock,9.0
,,DH101680,__export__.product_product_14931_858b8efc,stock.stock_location_stock,17.0
,,DH101016,__export__.product_product_14757_9da29210,stock.stock_location_stock,52.0
,,DM101140,__export__.product_product_16343_04f3e8a2,stock.stock_location_stock,141.0
,,DH181133,__export__.product_product_15269_3da31b6f,stock.stock_location_stock,0.0
Sales of 2021/11/29,True,36281008,__export__.product_product_38440_8b28e8e0,stock.stock_location_stock,44.0
,,DJ191023,__export__.product_product_15749_c19a10fa,stock.stock_location_stock,28.0
,,AA191073,__export__.product_product_39379_1a345bf3,stock.stock_location_stock,3.0
,,31151060,__export__.product_product_11385_a84e059b,stock.stock_location_stock,98.0
,,AA111082,__export__.product_product_39151_5b84aed5,stock.stock_location_stock,6.0
,,AA111085,__export__.product_product_39154_65c7a6c5,stock.stock_location_stock,8.0
Sales of 2021/11/30,True,36AA1004,__export__.product_product_38444_a08a3fc7,stock.stock_location_stock,103.0
,,DZ191014,__export__.product_product_17752_f2c5b76e,stock.stock_location_stock,5.0
,,AA101479,__export__.product_product_38988_5c965b21,stock.stock_location_stock,1.0
,,DS191053,__export__.product_product_16911_7bf716fc,stock.stock_location_stock,0.0
Sales of 2021/12/01,True,31101038,__export__.product_product_11303_9ca9dc4a,stock.stock_location_stock,4.0
,,DJ151069,__export__.product_product_15599_ed00837f,stock.stock_location_stock,46.0
,,DK201003,__export__.product_product_16251_9d2c4ada,stock.stock_location_stock,2.0
,,52DH1535,__export__.product_product_12953_563d7358,stock.stock_location_stock,2.0
,,DV101042,__export__.product_product_17561_25d7b59e,stock.stock_location_stock,29.0
,,JZ181401,__export__.product_product_32072_f23b93f9,stock.stock_location_stock,5.0

Sales of 2021/12/02,36JN0015,8.0
Sales of 2021/12/02,AA101598,4.0
Sales of 2021/12/02,AA191091,-1.0
Sales of 2021/12/02,36JZ0007,-1.0
Sales of 2021/12/02,36DZ0002,-1.0
Sales of 2021/12/02,DF101055,-4.0
Sales of 2021/12/02,DD201002,-1.0
Sales of 2021/12/02,36AA4025,-5.0
Sales of 2021/12/02,AA111085K,-5.0
Sales of 2021/12/02,AA191115,-3.0
Sales of 2021/12/02,DU161008,-4.0
Sales of 2021/12/02,AA101134,1.0
Sales of 2021/12/02,AA111134,1.0
Sales of 2021/12/02,52JB0231,1.0
Sales of 2021/12/02,DM191002,1.0
Sales of 2021/12/03,AZ351207,4.0
Sales of 2021/12/03,AZ161212,2.0
Sales of 2021/12/04,PD531029,2.0
Sales of 2021/12/04,AA101598,2.0
Sales of 2021/12/04,24151171,2.0
Sales of 2021/12/04,36DD4008K,-15.0
Sales of 2021/12/04,EC401030,1.0
Sales of 2021/12/06,39166005,10.0
Sales of 2021/12/06,36DZ0002,2.0
Sales of 2021/12/06,AN101123,2.0
Sales of 2021/12/06,JA511012,1.0
Sales of 2021/12/06,JE571007,-1.0
Sales of 2021/12/06,36311508,-1.0
Sales of 2021/12/06,31151060,-1.0
Sales of 2021/12/06,DD121013,-1.0
Sales of 2021/12/06,DD111018,-1.0
Sales of 2021/12/06,DX101046,-1.0
Sales of 2021/12/06,DJ201206,-2.0
Sales of 2021/12/06,JE541240,-1.0
Sales of 2021/12/06,JE541241,-1.0
Sales of 2021/12/06,JE541233,-1.0
Sales of 2021/12/07,31101018,10.0
Sales of 2021/12/07,AA101875,6.0
Sales of 2021/12/07,DJ151036,1.0
Sales of 2021/12/07,DJ151088,1.0
Sales of 2021/12/07,36JZ0112,1.0
Sales of 2021/12/07,DU191035,1.0
Sales of 2021/12/07,AA201048,1.0
Sales of 2021/12/07,24121070,1.0

PRIBDM2021113009652,2021-12-08,True,BGO20W50C,__export__.product_product_49755_86045366,stock.stock_location_stock,163.0
PRIBDM2021113009658,2021-12-08,True,24131009,__export__.product_product_38005_56441156,stock.stock_location_stock,10.0
,,,31101020,__export__.product_product_11299_fcd68dc8,stock.stock_location_stock,19.0
,,,36BA4039,__export__.product_product_38537_13f3269f,stock.stock_location_stock,12.0
,,,36DD4002,__export__.product_product_11474_3b9de8b0,stock.stock_location_stock,65.0
,,,39171519,__export__.product_product_38735_aae7f1e9,stock.stock_location_stock,93.0
