name,Accounting Date,Include Exhausted Products,reference,line_ids/product_id/id,line_ids/location_id/id,line_ids/product_qty
Sales of 2022/08/26,2022/08/26,True,JA541011,__export__.product_product_18202_1c7da4be,stock.stock_location_stock,15.0
,,,JD521002,__export__.product_product_18893_8c595228,stock.stock_location_stock,100.0
Sales of 2022/08/27,2022/08/27,True,DK101380,__export__.product_product_15967_70068209,stock.stock_location_stock,0.0
,,,AB151095,__export__.product_product_46821_5dace541,stock.stock_location_stock,1.0
,,,31101040,__export__.product_product_11305_08b92bf8,stock.stock_location_stock,0.0
,,,JB551411,__export__.product_product_18462_724be337,stock.stock_location_stock,14.0
,,,JB551408,__export__.product_product_18460_0f7cfaa4,stock.stock_location_stock,14.0
,,,DJ181115,__export__.product_product_15726_fa72f721,stock.stock_location_stock,128.0
,,,JD511008,__export__.product_product_18883_16544477,stock.stock_location_stock,25.0
,,,JC201043,__export__.product_product_18665_6d57dcf6,stock.stock_location_stock,0.0
,,,JD521002,__export__.product_product_18893_8c595228,stock.stock_location_stock,96.0
,,,JL401012,__export__.product_product_23605_7b2467c0,stock.stock_location_stock,5.0
,,,AZ351001,__export__.product_product_47315_70977983,stock.stock_location_stock,2.0
,,,JC101114,__export__.product_product_18563_824098f2,stock.stock_location_stock,0.0
,,,BF351601,__export__.product_product_49302_d700caf9,stock.stock_location_stock,0.0
Sales of 2022/08/29,2022/08/29,True,DS191020,__export__.product_product_16893_e57fc897,stock.stock_location_stock,0.0
,,,36281008,__export__.product_product_38440_8b28e8e0,stock.stock_location_stock,26.0
,,,JA541019,__export__.product_product_47778_18e88a6d,stock.stock_location_stock,29.0
,,,DK111017,__export__.product_product_16032_03cc4ac6,stock.stock_location_stock,3.0
,,,DS191018,__export__.product_product_16892_7fdfb358,stock.stock_location_stock,5.0
,,,DH111104,__export__.product_product_15033_0fb1876e,stock.stock_location_stock,2.0
,,,39219019,__export__.product_product_12753_805bbacd,stock.stock_location_stock,224.0
,,,31101033,__export__.product_product_11302_89b7fcaf,stock.stock_location_stock,28.0
,,,39240320,__export__.product_product_12787_61902238,stock.stock_location_stock,30.0
,,,AA111085K,__export__.product_product_39155_9b8f7f0d,stock.stock_location_stock,41.0
,,,DH101373,__export__.product_product_14849_6a24172d,stock.stock_location_stock,122.0
,,,DH101050,__export__.product_product_14768_5eb4ee7d,stock.stock_location_stock,33.0
,,,39201719,__export__.product_product_12732_708a75a8,stock.stock_location_stock,162.0
,,,DH101016,__export__.product_product_14757_9da29210,stock.stock_location_stock,71.0
,,,CS101128,__export__.product_product_14117_b12ede13,stock.stock_location_stock,393.0
,,,DS101096,__export__.product_product_16638_8ddb947e,stock.stock_location_stock,61.0
,,,DH101154,__export__.product_product_14800_9ce1343b,stock.stock_location_stock,30.0
,,,DH101864,__export__.product_product_14955_b2339f87,stock.stock_location_stock,5.0
,,,36DS1002,__export__.product_product_11704_29d95dc6,stock.stock_location_stock,27.0
,,,36DH4030,__export__.product_product_11511_7ac7302e,stock.stock_location_stock,34.0
Sales of 2022/08/30,2022/08/30,True,AA131033,__export__.product_product_39257_e765f59a,stock.stock_location_stock,1.0
,,,PF181209,__export__.product_product_33310_00cd304f,stock.stock_location_stock,0.0
Sales of 2022/08/31,2022/08/31,True,AA111082,__export__.product_product_39151_5b84aed5,stock.stock_location_stock,0.0
,,,AA111085,__export__.product_product_39154_65c7a6c5,stock.stock_location_stock,0.0
,,,DK101180,__export__.product_product_15932_e7b3d37a,stock.stock_location_stock,7.0
,,,DK101182,__export__.product_product_15933_27d1366c,stock.stock_location_stock,21.0
,,,36DK0033,__export__.product_product_11652_c1a28ce9,stock.stock_location_stock,2.0
,,,DH101468,__export__.product_product_14879_363f20ea,stock.stock_location_stock,0.0
Sales of 2022/09/01,2022/09/01,True,AA111132,__export__.product_product_39170_8730061f,stock.stock_location_stock,2.0
