name,Accounting Date,Include Exhausted Products,reference,line_ids/product_id/id,line_ids/location_id/id,line_ids/product_qty
PRIBDM2022061702174,2022-06-17,True,36DU1503,__export__.product_product_11776_45d21b56,stock.stock_location_stock,89.0
,,,AA101622,__export__.product_product_39021_c42eb979,stock.stock_location_stock,110.0
,,,AA101750,__export__.product_product_39048_6fbb62ab,stock.stock_location_stock,48.0
,,,AN101135,__export__.product_product_47148_b518cde6,stock.stock_location_stock,100.0
,,,DH101795,__export__.product_product_47687_4cece32a,stock.stock_location_stock,3.0
,,,JE551414,__export__.product_product_19103_e7b90d1f,stock.stock_location_stock,5.0
PRIBDM2022061702176,2022-06-17,True,36AE0001,__export__.product_product_49751_b9240984,stock.stock_location_stock,8.0
,,,AA101055,__export__.product_product_38877_a825a9b2,stock.stock_location_stock,146.0
,,,AA101512,__export__.product_product_38994_bab18a1b,stock.stock_location_stock,34.0
,,,AA111058,__export__.product_product_39140_0df98ef0,stock.stock_location_stock,32.0
,,,AA131017,__export__.product_product_39254_53de2a5f,stock.stock_location_stock,22.0
PRIBDM2022061702178,2022-06-17,True,AA101013,__export__.product_product_38864_2845f219,stock.stock_location_stock,149.0
,,,AN101012,__export__.product_product_47127_4dbbc186,stock.stock_location_stock,9.0
,,,AZ351001,__export__.product_product_47315_70977983,stock.stock_location_stock,1.0
,,,DH101782,__export__.product_product_14945_faa7459b,stock.stock_location_stock,2.0
,,,DH101920,__export__.product_product_14963_0aa3a326,stock.stock_location_stock,2.0
PRIBDM2022061702180,2022-06-17,True,24130105,__export__.product_product_37990_1e110c71,stock.stock_location_stock,20.0
,,,52DH0822,__export__.product_product_12913_f10103e4,stock.stock_location_stock,1.0
,,,AA101844,__export__.product_product_39070_380d1ece,stock.stock_location_stock,18.0
,,,AA121090,__export__.product_product_39199_29352250,stock.stock_location_stock,2.0
,,,AB151095,__export__.product_product_46821_5dace541,stock.stock_location_stock,21.0
,,,AN101135,__export__.product_product_47148_b518cde6,stock.stock_location_stock,5.0
,,,AN101155,__export__.product_product_47154_f65f1cda,stock.stock_location_stock,23.0
,,,DD101407,__export__.product_product_14194_6858f886,stock.stock_location_stock,28.0
,,,DJ101012,__export__.product_product_15456_68091ab0,stock.stock_location_stock,7.0
,,,DJ151094,__export__.product_product_15614_62760599,stock.stock_location_stock,5.0
,,,DK211008,__export__.product_product_16281_f2429f9a,stock.stock_location_stock,7.0
,,,DS101036,__export__.product_product_16613_fd429184,stock.stock_location_stock,38.0
,,,JD511008,__export__.product_product_18883_16544477,stock.stock_location_stock,28.0
,,,JE531001,__export__.product_product_19031_df340419,stock.stock_location_stock,13.0
,,,JF181210,__export__.product_product_22455_352a83df,stock.stock_location_stock,5.0
,,,JL402004,__export__.product_product_23624_c7850ed6,stock.stock_location_stock,4.0
,,,JL511231,__export__.product_product_23670_5c826eb8,stock.stock_location_stock,3.0
PRIBDM2022061702182,2022-06-17,True,36DU1503,__export__.product_product_11776_45d21b56,stock.stock_location_stock,72.0
,,,36DU4026,__export__.product_product_11783_134df709,stock.stock_location_stock,20.0
,,,DS151038,__export__.product_product_16772_7749e976,stock.stock_location_stock,385.0
PRIBDM2022061702184,2022-06-17,True,AA101622,__export__.product_product_39021_c42eb979,stock.stock_location_stock,65.0
,,,AA121006,__export__.product_product_39184_addf96fb,stock.stock_location_stock,2.0
,,,AA121010,__export__.product_product_39188_3663bc39,stock.stock_location_stock,85.0
,,,AB151063,__export__.product_product_46808_a822d38b,stock.stock_location_stock,4.0
,,,CS101128,__export__.product_product_14117_b12ede13,stock.stock_location_stock,363.0
PRIBDM2022061702188,2022-06-17,True,AA111058,__export__.product_product_39140_0df98ef0,stock.stock_location_stock,5.0
,,,DD121181,__export__.product_product_14243_470851c1,stock.stock_location_stock,5.0
PRIBDM2022061702189,2022-06-17,True,30151105,__export__.product_product_11238_926c2a15,stock.stock_location_stock,156.0
,,,31111056,__export__.product_product_11350_86a3f005,stock.stock_location_stock,5.0
,,,31151060,__export__.product_product_11385_a84e059b,stock.stock_location_stock,45.0
,,,36DU1205,__export__.product_product_11773_dc7dfd0d,stock.stock_location_stock,36.0
,,,36JK0011,__export__.product_product_12012_f5325f7f,stock.stock_location_stock,61.0
PRIBDM2022061702191,2022-06-17,True,24101050,__export__.product_product_37808_6772fa1c,stock.stock_location_stock,8.0
,,,36241002,__export__.product_product_38428_4d0e545a,stock.stock_location_stock,17.0
,,,39239304,__export__.product_product_38783_0fc1485f,stock.stock_location_stock,37.0
,,,AL201012,__export__.product_product_47070_d6076684,stock.stock_location_stock,59.0
,,,DH111104,__export__.product_product_15033_0fb1876e,stock.stock_location_stock,4.0
,,,JN521001,__export__.product_product_23886_b85651cd,stock.stock_location_stock,18.0
PRIBDM2022061702193,2022-06-17,True,36PA0004,__export__.product_product_12380_448513ef,stock.stock_location_stock,19.0
,,,39100820,__export__.product_product_12623_509e24cb,stock.stock_location_stock,50.0
,,,39240320,__export__.product_product_12787_61902238,stock.stock_location_stock,29.0
,,,AA201012,__export__.product_product_46676_280283c9,stock.stock_location_stock,21.0
,,,AB171044,__export__.product_product_46846_92d82d48,stock.stock_location_stock,9.0
PRIBDM2022061702195,2022-06-17,True,36AA4033,__export__.product_product_38461_229c483c,stock.stock_location_stock,27.0
,,,39103309,__export__.product_product_38665_66f0a917,stock.stock_location_stock,158.0
,,,AA101569,__export__.product_product_39003_95b0f54e,stock.stock_location_stock,72.0
,,,AA121006,__export__.product_product_39184_addf96fb,stock.stock_location_stock,7.0
