Part Number, Quantity,Unit Price(Retail Price),Notes
AA101051,7,"3,340.00",
24101806,2,"2,970.00",
AA101782,1,"3,040.00",
JG551447,114,370,
36JZ0199,17,700,
36PF0087,2,540,
PD551433,10,370,
DP101111,1,220,
36JZ0198,8,"2,120.00",
30101096,23,180,
DK101151,6,250,
DK101565,62,350,
DH101098,172,320,
36PD0050,8,"1,260.00",
DJ191023,6,980,
DK151073,15,"1,850.00",
36DH4173,1,350,
DE191043,1,"1,490.00",
DK151031,5,"5,500.00",
Y-DJ191023,1,,
AB151054,10,"1,100.00",
AA111082,24,"3,890.00",
AA111089,3,"5,480.00",
AP201130,1,5380,
AF111010,9,2140,
24131032,16,330,
22131014,56,130,
24130113,1,20,
22131018,7,780,
59200012,18,450,
36224004,11,950,
24111065,15,1660,
24111062,16,1420,
CD111004,16,540,
24111099,9,1100,
Y-AAS7001,3,,
06111279,5,490,
AA111052,1,670,
AN101257,29,630,
AN101166,30,270,
Y-AN101166,8,,
36BA4009,5,3420,
30161158,22,130,
DH161066,8,100,
AZ161001,37,180,
DK191013,5,80,
JM191012,5,60,
AA191063,5,180,
AA191117,3,200,
JD561204,1,80,
36JE0005,2,4330,
36PD0055,9,5770,
36DH4027,5,3020,
36JZ0121,2,6060,
36JY0103,1,12500,
36DK0074,3,3510,
36DH4117,14,4750,
36JH0004,7,3120,
36JU0002,1,7150,
36PF0086,5,3640,
36JH0033,1,2420,
31101041,82,120,
36JA0020,21,1780,
28101118,118,140,
39103519,892,160,
39201719,78,200,
36AA1004,61,740,
JA511012,20,1130,
JE511038,21,680,
JE511022,16,470,
36241010,31,800,
36102401,8,790,
JV511012,27,900,
JD511010,36,600,
24181046,19,530,
AA111085,18,"1,450.00",
BA132110,2,90,
Y-SAAA111081,4,,
Y-SAVNAA111085A,10,,
Y-F180260994,3,,
AB151069,3,490,
AB151072,1,610,
AP111023,28,350,
BA201033,7,290,
24201421,20,670,
AB201077,3,930,
AB201075,3,310,
AL201031,1,910,
DJ191057,29,820,
DG191012,1,890,
DJ191083,16,640,
DJ191055,27,750,
DE191009,3,,NO DATA
DD191141,8,720,
GF191019,1,490,
30191023,1,470,
DK101573,4,490,
DH101484,8,440,
JL113027,3,460,
31101006,1,220,
YDH101484,3,,NOT FOUND
31101137,17,290,
JH541217,1,300,
JE551405,9,500,
52DH0177,4,1110,
AA101474,2,120,
JA551405,1,420,
DK101338,2,410,
DH101142,3,750,
56DJ4E1Y,1,400,
DH121167,1,760,
30161157,15,220,
JA113201,7,240,
DX101035,2,420,
DS161112,4,280,
DD111048,26,440,
DD111011,22,130,
DH111016,20,130,
DH111015,21,470,
JB402202,12,80,
DH111013,14,120,
JD561417,4,110,
DK111011,5,350,
DJ151072,1,410,
JF351212,2,210,
AA111148,1,90,
AN101258,3,170,
JD232805,1,30,
DJ151073,1,130,
AA101564,62,560,
36DJ4104,20,490,
36DH4177,4,510,
DK151088,3,1230,
DJ151075,2,2800,
36DK0070,1,890,
DH101557,86,310,
36DD4008,52,1630,
DJ151088,1,1200,
36DH4025,20,2290,
DK141013,1,1010,
DD161107,2,940,
DD141024,2,3010,
DU141061,2,2040,
DH141048,3,510,
24181032,2,690,
BB201030,5,640,
36244044,1,580,
JN351604,19,1870,
DK201078,11,1850,
AP201029,25,1150,
AF201001,10,860,
DK201016,3,1270,
JZ401013,3,1820,
AL201024,6,400,
JL402005,2,2450,
JL511029,1,350,
JL601237,1,1470,
JY551402,8,7710,
JG621413,3,3660,
JY571015,1,910,
36DU1205,31,930,
JA581221,53,710,
36JZ0016,12,340,
JN581207,18,580,
AA201313,4,4590,
AA201194,2,2380,
AA201272,1,3300,
AA201278,1,3570,
24121118,16,5790,
AA121280,1,10240,
AA121208,1,10410,
AA121097,1,10310,
AA131036,6,1820,
DH121097,1,15650,
DU121009,1,9290,
AN131023,31,1830,
Y-AN131032,2,,
AA131063,10,1970,
AN101116,6,1680,
JA541011,13,380,
39100820,16,320,
03100621,14,180,
JG541015,5,440,
39199020,10,250,
AP101243,7,260,
24171014,49,90,
39043501,50,40,
39011904,143,40,
AB171016,39,360,
24171049,25,200,
AB171040,1,130,
AA171022,6,310,
AA171006,1,490,
Y-SAAA171006,1,,
AB101067,40,1300,
35101059,3,"1,990.00",
