STR_PART_CODE,STR_DESC,INT_QTY,INT_TOTAL_COST,INT_AVG_UNIT_COST
DH101555,CLUTCH CENTER - PULSAR UG II,1,1435.9,1435.9
DM191005,CABLE - THROTTLE FOR TPS,25,22825,913
36DU1001,KIT - O'RING CYLINDER HEAD,114,50160,440
DD191143,BOOT - FOR LEVER  RH,29,2647.7,91.3
DH101607,TRUSS SCREW,50,1245,24.9
DS181071,BUSH - SLIDE,8,5710.4,713.8
DS191011,SPRING BRAKE PEDAL,1,83,83
DX101049,GEAR 4TH DRIVE,9,11053.2,1228
DX101048,GEAR 3RD DRIVE,5,9088.5,1817.7
39268820,BEARING BALL [6301/C3],2,962.8,481.4
DM101139,GASKET (GEN. COVER),259,44453,172
36DK0007,KIT CENTRIFUIGAL OIL FILTER,1,149.4,149.4
DM101140,GASKET (CLUTCH),149,48231.3,323.7
DS181043,TUBE - OUTER :- RH - DRUM,2,3502.6,1751.3
AN101083,BREATHER TUBE ASSEMBLY,141,31598.1,224.1
DJ161226,KIT LEG GUARD ASSLY-BLACK,4,12748.8,3187.2
DM151029,RIM - WHEEL [ 1.60*17 ],1,4722.7,4722.7
52DH0117,LEVER - GEAR SHIFT,7,11910.5,1701.5
DS121003,BODY - OIL PUMP,1,174.3,174.3
JA531011,CAM CHAIN ( 92 LINKS ),61,79544,1304
JA541005,BUSH BENDIX,6,896.4,149.4
52DZ0046,CHAIN ADJUSTER S/A RH (PLATINA ALLOY WH),46,8017.8,174.3
DU101066,WASHER-SPECIAL :- CAM SPROCKET,6,473.1,78.85
24141109,FUEL FILTER,28,5112.8,182.6
52DZ0047,CHAIN ADJUSTER S/A LH(PLATINA ALLOY WH),66,10956,166
DS101294,GASKET STATER COUNTER,13,377.65,29.05
39258204,BOLT HEXAGON HEAD WITH FLANGE,20,1494,74.7
DJ101179,CLUTCH CENTER - PULSAR UG II,7,9354.1,1336.3
AA131036,SECTOR COMP.REV.CONT,18,26294.4,1460.8
AE101068,PLATE - CLUTCH :- OUTER FOR 3WH-2S-RE,135,19048.5,141.1
AL201031,SWITCH (2 POSITION),2,1510.6,755.3
DZ221003,LEG GUARD,20,65570,3278.5
JW351200,CDI ASSEMBLY,2,14375.6,7187.8
JW351400,THERMAL SENSOR WITH ALUMINIUM GASKET,11,5751.9,522.9
JW401011,NUMBER PLATE ILLUMINATION LAMP,20,18426,921.3
JW511201,CAM SHAFT ASSLY,6,15189,2531.5
DK101176,SHAFT STARTER COUNTER,1,116.2,116.2
JZ511004,CAM SHAFT COMP,14,44906,3208
JZ511203,ROCKER ARM WITH ROLLER,15,24775.5,1651.7
JZ541214,CAP FILTER,4,1394.4,348.6
JZ551001,SHAFT INPUT T/M,2,3618.8,1809.4
JZ551200,GEAR 2ND DRIVE,3,2241,747
JZ551201,GEAR 3RD DRIVE,2,2971.4,1485.7
JZ511016,GASKET CYLINDER HEAD,79,47423,600
JZ581011,FILTER AIR ELEMENT,20,13280,664
JZ161204,SPEEDOMETER CABLE,10,6308,630.8
JB551411,HUB CLUTCH  MODIFIED,34,41765.6,1228.4
36JD0002,KIT VC SCREW PULSAR 135 LS,3,896.4,298.8
JD131213,AXLE REAR,5,4316,863.2
JD131810,DISC BRAKE - 5 MTG -134 PCD,1,6233.3,6233.3
JD151003,OUTER TUBE LH,2,4465.4,2232.7
JD151006,LAMP SHADE ASSY,5,12574.5,2514.9
JD151017,HANDLE HOLDER-RH,2,2357.2,1178.6
JD151026,FORK PIPE SPINNING,7,31548.3,4506.9
