STR_PART_CODE,STR_DESC,INT_QTY,INT_TOTAL_COST,INT_AVG_UNIT_COST
DK101386,PRECOATED SOC HD CAP BOLT M8X40,40,3984,99.6
JD231201,LEG GUARD - ALT JD231200,3,5851.5,1950.5
JD231600,MIRROR ASSLY LH,5,5187.5,1037.5
JD231601,MIRROR ASSLY RH,5,5021.5,1004.3
JD402601,TFR FUEL LEVEL SENSOR-NEW TANK,2,2423.6,1211.8
JD511004,SLEEVE SPARK PLUG,28,18352,655
JD511008,GASKET CYLINDER HEAD,29,19737.4,680.6
JD511202,VALVE EXHAUST,20,19422,971.1
JD511207,ROCKER ARM ASSEMBLY,15,30129,2008.6
AZ161001,REVERSE SPRING,36,5378.4,149.4
AL161498,COVER SPEEDOMETER,1,522.9,522.9
36AA4012,KIT PISTON VALVE ASSLY,7,10051.3,1435.9
AF121465,COVER - OIL FILTER,4,2390.4,597.6
DH181063,OUTER TUBE LH-BLACK,3,14018.7,4672.9
DH181069,LOCK SET 4 IN 1,5,17554.5,3510.9
DH74014M,FAIRING MIDNIGHT BLACK,6,23555.4,3925.9
DJ201206,BLINKER RR.LH (CL) FLEXIBLE,18,19272.6,1070.7
DJ201207,BLINKER RR.RH (CL) FLEXIBLE,16,17928,1120.5
AP161047,TOP COVER FOR HANDLE BAR,8,2589.6,323.7
24231146,CLIP,5,124.5,24.9
24171120,ARM ASSY COMP TR LH,1,9901.9,9901.9
36AA4016,KIT PLATE  FRICTION (AA101478),1,2066.7,2066.7
DZ151045,PANEL REAR BRAKE DIA 110,3,6200.1,2066.7
AA201188,LENS FOR TAIL LIGHT RH,3,2091.6,697.2
24131002,PINION - FARE METER,25,7885,315.4
DJ141008,DAMPER FRONT,30,5229,174.3
DH121171,PISTON VACUUM ASSLY KIT,3,16807.5,5602.5
DH181092,LAMP SHADE ASSY,38,77588.4,2041.8
DH181099,PLUG HANDLE HOLDER,9,522.9,58.1
BG401401,IGNITION PARKING SWITCH(WITH KEY,10,17679,1767.9
AA101373,INTERNAL COWLING,11,6664.9,605.9
DH101781,PLATE ROLLER CLUTCH,7,755.3,107.9
DK201027,TANK UNIT FOR K3,2,2556.4,1278.2
39266921,RING - O (ID 10.15 X 1.5),29,962.8,33.2
39268320,BEARING - BALL :- 17X35X10 - C3 CLASS,11,5569.3,506.3
59200036,BEARING - BALL 6203 HN3 C3,1,514.6,514.6
59210023,O_RING,149,3710.1,24.9
36JA0002,KIT VALVE KIT XCD,20,34694,1734.7
DD201024,CONDENSER,63,18144,288
52DH0295,SPEEDOMETER UG II (DJ191049),1,12383.6,12383.6
AN101070,CRANKCASE CLUTCH SIDE FOR 200CC,3,49575.9,16525.3
AN121082,SEAL RUBBER-OIL FILTER,104,2544.6,24
AN121111,CONNECTOR -CLUTCH COVER,12,6772.8,564.4
AP161048,HANDLE BAR BODY,1,5146,5146
AT601203,CONNECTOR FILTER COVER,11,2921.6,265.6
LJA00003,O RING (INSULATOR),18,1344.6,74.7
AA201194,INDICATOR ASSEMBLY(TW POD 4S-UG),2,3950.8,1975.4
AF111016,IGNITER & GAS CONTROLLER(ANTI-CRANKING),2,10740.2,5370.1
24171118,AXLE ASSEMBLY REAR WHEEL,10,36603,3660.3
52DU0239,ASSEMBLY OHC (GRI-GRAY COLOUR),4,1593.6,398.4
DZ101047,CLUTCH COVER/GRAPHIC,1,1900.7,1900.7
39240320,BEARING BALL [628],50,22825,456.5
CS101128,Gasket,130,4280,33
DK101003,GASKET CYLINDER HEAD,41,28333.2,691
DK121009,ASSEMBLY ELEMENT FILTER,3,1867.5,622.5
DK161085,FENDER REAR,2,2788.8,1394.4
JA151013,FORK INNER TUBE XCD 125,10,36769,3676.9
GF201009,SWITCH START,1,340.3,340.3
39262921,O-RING,40,3320,83
DK101253,SPRING GEAR SHIFT STOPPER (DETENT),10,166,16.6
DK101328,RING SET PISTON,1,1527.2,1527.2
DK151005,COUPLING,1,2431.9,2431.9
DK151008,AXLE - FRONT,1,788.5,788.5
JN581212,CHOKE PLUNGER HOUSING (DISCOVER),7,4938.5,705.5
52240483,BUMPER ASSLY (24231063)- PRIMER COATED,20,32868,1643.4
JA511028,STUD M8X1.25X45L,45,2940,65
DS101050,ROD - PUSH,9,747,83
16121138,NEEDLE ASSEMBLY,48,47808,996
AA121104,JET MAIN (MJ),36,4183.2,116.2
AA121105,JET PILOT (PJ),7,2265.9,323.7
AP121010,DUCT IN AIR FILTER,10,3818,381.8
CB111008,CAP - SPARK PLUG,20,5810,290.5
CS101118,ADJUSTER ASSEMBLY - CAM CHAIN,1,1386.1,1386.1
52JA0023,ASSEMBLY KIT OF JA CASE OIL PUMP,19,17977.8,946.2
35161060,CLIP  NUT,130,7470,57
JB131017,AXLE FRONT,6,2888.4,481.4
DH161239,SPRING - MAIN STAND WITH COVER,10,1411,141.1
DH161240,SPRING - SIDE STAND WITH COVER,25,3112.5,124.5
DH101392,PRECOATED TENSIONER PIVOT BOLT - DH101011,55,5021.5,91.3
DK101338,HOLDER CLUTCH,5,1701.5,340.3
52DU0290,ASSEMBLY FENDOR WITH BRACE (CT 100) FLAM RED - 52DD0357,2,9262.8,4631.4
JB402202,GROMMET - ETS,6,398.4,66.4
52DM0086,COVER CHAIN(PAINT WH HR SILVER-DM101149),2,2357.2,1178.6
DH161283,BOLT CHAIN CASE,50,830,16.6
DJ181104,SPRING - MAIN :- 135 DU WITH SPACER TUBE,8,2988,373.5
AN131022,SPRING TENSION,66,8217,124.5
DU101223,PLUG DRAIN (MAGNETIC) - DD101275,30,5658,189
GF101022,GASKET - CRANKCASE CENTER,0,0,166
GF101089,CAMSHAFT ASSLY COMPLETE,0,0,1709.8
DZ171016,REAR  SHOCK ABSORBER BLACK POWER COATED,9,38619.9,4291.1
JB551408,WHEEL CLUTCH,34,24551.4,722.1
JB571000,OIL PUMP ASSLY,23,18517.3,805.1
JB581255,AUTOCHOKE SOLENOID-DISCOM,1,1618.5,1618.5
JB581258,TUBE AIR VENTING PTE-16 DISCO-M,1,107.9,107.9
JA131602,LEVER BRAKE,6,1145.4,190.9
JA161000,BRAKE PEDAL,1,1054.1,1054.1
JA161203,BRAKE CABLE,7,6507.2,929.6
JA171801,FUEL TUBE,10,664,66.4
JA351000,ROTOR ASSY COMPLETE,1,3394.7,3394.7
JA351200,CDI ASSEMBLY,6,33985.5,5664
JA351204,IGNITION COIL KIT - RH,2,2573,1286.5
JB401006,INDICATOR FR LH,6,6623.4,1103.9
DJ201100,SWITCH - REAR BRAKE,4,1626.8,406.7
JB131008,RING-SPEED SENSOR,3,1319.7,439.9
DJ101327,CYL BL/PIST ASSY(FOR SPARES),3,32619,10873
JB141001,DRIVE CHAIN CONNECTING LINK,26,2589.6,99.6
DU101196,ASSEMBLY SILENCER (WITHOUT CAT),3,49152.6,16384.2
JD521002,GASKET CYLINDER BLOCK,353,73494.2,208
JN181001,WINDSHIELD,20,24900,1245
JN181004,BKT COWLING,7,2614.5,373.5
JN181017,"BRACKET FLAP SUPPORT LH
",17,4233,249
JN181018,BRACKET FLAP SUPPORT RH,14,3718.4,265.6
JN181023,HEADLAMP MTG BRIDGE BKT LH,5,249,49.8
JN181024,HEADLAMP MTG BRIDGE BKT RH,10,498,49.8
JA541019,MESH FILTER OIL PUMP.,20,7138,356.9
JA541021,CAP STRAINER,60,17766,296
JA541205,GASKET MAGNETO COVER,109,24915,229
JA541211,CAP OIL FILLER,58,10590.8,182.6
JA541212,GASKET CLUTCH COVER,348,82462.3,237
JN351604,STARTER RELAY- WITH GROMMET,26,38896,1496
PA402400,SPEEDOMETER ASSEMBLY,2,14076.8,7038.4
PA402401,SPEEDOMETER MACHINE WITH DIAL,2,4166.6,2083.3
PA72013B,FR FENDER PNTD EBONEY BLK( DISCO M94),3,9885.3,3295.1
PA72013F,FR FENDER PNTD FLAME RED (DISCO M94),1,3693.5,3693.5
PA75013B,SEAT COWL ASSLY PNTD E BLK/BLUE DECAL,1,6324.6,6324.6
PA75013C,SEAT COWL ASSLY PNTD E BLK/MAGN DECAL,2,12250.8,6125.4
DJ201153,WIRING HARNESS PULSAR UG3 (SS) NEW T.U. COUPLER (1ST MODIFICATION),0,0,8328
24191100,PULLY GEAR CONTROL,20,1660,83
DU181030,COWLING PRIMERED FOR CT100,3,2041.8,680.6
AA121150,ELEMENT AIR FILTER,15,25522.5,1701.5
AA101686,COWLING -CLUTCH SIDE,1,680.6,680.6
JA551419,PLATE CLUTCH,20,4482,224.1
JA551422,SPRING JUDDER,22,8034.4,365.2
JA561000,DRUM COMPLETE GEAR SHIFT,2,2788.8,1394.4
DK161176,SAREE GUARD,2,3403,1701.5
GF121014,ELEMENT AIR FILTER,0,0,622.5
GF151004,DRUM - BRAKE :- REAR,2,10690.4,5345.2
GF151009,SHOE ASSEMBLY - BRAKE :- REAR,0,0,937.9
GF151019,GEAR - SPEEDOMETER,10,581,58.1
36DD4006,KIT PLATE FRICTION BOXER ( DD101099 ),20,18924,946.2
36DH4027,KIT PLATE CLUTCH P150UG3 (DH101554),5,12533,2506.6
AA191071,SPEEDOMETER CABLE COMPLETE,34,35557.2,1045.8
24141148,ASSLY FUEL COCK,1,3220.4,3220.4
BG233002,EMBLEM BAJAJ,8,11487.2,1435.9
JA581005,CARTRIDGE ASSLY.,5,2780.5,556.1
JA581006,ELEMENT AIR FILTER,20,7138,356.9
JB401405,"CLUTCH SWITCH- 3 POLE, 340MM.",3,1070.7,356.9
JA511006,GASKET CYLINDER HEAD,30,18924,630.8
JA511012,O-RING HEAD COVER,40,37177,929
JA511204,ROCKER ARM WITH ROLLER,35,50256.5,1435.9
JA511210,SHAFT ROCKER ARM IN (36.2L),5,456.5,91.3
JA511211,SHAFT ROCKER ARM EX (48.2L),15,1618.5,107.9
JA521017,CHAIN TENSIONER(BLACK),20,26512,1326
JA521207,PISTON RINGS SET,1,1759.6,1759.6
JA531000,CRANK SHAFT ASSY.,0,0,13753.1
JB161005,ROD BRAKE,4,863.2,215.8
DJ201164,RR UNIT BROWN COLOUR,5,13736.5,2747.3
DJ201165,BODY CONTROL UNIT BROWN COLOUR,1,9287.7,9287.7
DK101380,NUTRAL SWITCH,16,3187.2,199.2
DH101385,PRECOATED FLANGED BOLT,16,199.2,12.45
36DH4007,KIT STARTER CLUTCH,66,30887.7,468
JN581207,IDLING SCREW KIT,9,4332.6,481.4
DK141015,TANK PAD (PULSAR 200 CC),4,2589.6,647.4
36DJ4005,KIT CHAIN SPROCKET PULSAR DTSI (MODIF) (36DJ4009),117,414993,3547
36AA1003,KIT GASKET RE 4S,72,96822,1345
AA191063,SPRING-REVERSE,58,8665.2,149.4
JC101034,TENSIONER ASSEMBLY (JC),17,21624,1272
JC151013,WHEEL  1.85X17-TUBELESS(BLACK),1,17587.7,17587.7
JC161002,HOLDER STEP RH,1,4930.2,4930.2
52DU0289,ASSEMBLY FENDOR WITH BRACE (CT 100) JET BLACK,33,141058.5,4274.5
DS211007,DAMPER SEAT FRONT,6,498,83
DH101862,CENTER CLUTH (FCC),4,7138,1784.5
DJ101371,ASSLY BLOCK PISTON (DJ-FOL),6,67248,11208
DK101565,PLATE CLUTCH(FCC),80,23240,290.5
DK101566,DISC A FRICTION(FCC) (36DK0074),1,697.2,697.2
35101178,CLUTCH BUSH,18,48256.2,2680.9
AA161160,LABEL 4S,10,1660,166
JC181005,HANDLE BAR,5,9835.5,1967.1
JC191001,BRAKE LEVER PEDAL,3,3237,1079
JC201009,BULB 12V 35W HS1 - WHITE OUTPUT,3,4556.7,1518.9
DK101570,SEAT JUDDER SPRING (FCC),3,871.5,290.5
DZ151025,PANEL ASSEMBLY COMPLETE - BRAKE :- FRONT,1,1734.7,1734.7
GF181023,LOCK KIT COMPLETE,1,2481.7,2481.7
JZ74033B,COWLING (ASSLY) PNTD MN BLK  BLUE DECAL,1,2315.7,2315.7
JZ74033C,COWLING (ASSLY) PNTD MN BLK  RED DECAL,2,8864.4,4432.2
JE531008,"CRANKSHAFT ASSEMBLY D102C
",1,12051.6,12051.6
DH191065,SPEEDOMETER (UG5),2,30960,15480
36JL0001,KIT CHAIN GUIDE-P200,19,7521.5,396
36JL0009,KIT CHAIN SPROCKET-P200,15,123720,8248
36JL0011,KIT VALVE REPAIRE-P200,1,597.6,597.6
52JL0054,COVER SIDE ASSLY LH (JL181211) SATIN BLK,1,2514.9,2514.9
AP201117,ASSEMBLY DRIVE SHAFT & DRIVEN WH,1,1303.1,1303.1
AP201118,ASSEMBLY YOKE,7,6972,996
AP201120,ASSEMBLY WIRING HARNESS,2,1593.6,796.8
AP201122,ASSEMBLY RUBBER KIT,3,871.5,290.5
AP201123,ASSEMBLY WIRING HR- BRUSH HOLDER,5,6017.5,1203.5
JG401601,HORN 82 DIA,2,2606.2,1303.1
AA191085,CABLE CLUTCH COMPLETE RE205,75,77190,1029.2
JG521008,GASKET CYLINDER BLOCK,13,4576,352
JG531041,BALANCER  DRIVE GEAR,1,2398.7,2398.7
36DK0020,KIT OUTER TUBE,68,60955.2,896.4
36PF0002,KIT BLOCK PISTON BM150,2,14840.4,7420.2
36PF0010,KIT CHAIN SPROCKET BM150,1,5685.5,5685.5
JL231202,GUARD SAREE,2,2390.4,1195.2
JL231203,GUARD LEG RH,5,4772.5,954.5
JL231405,GRAB HANDLE ASSY RH,2,2971.4,1485.7
JL231600,MIRROR ASSY LH,13,17587.7,1352.9
JL231601,MIRROR ASSY RH,16,20584,1286.5
JL351201,IGNITION COIL WITH CABLE LH,1,2091.6,2091.6
JL351600,STARTER MOTOR,0,0,5253.9
JL401002,LAMP TAIL ASSY,3,13147.2,4382.4
JL401004,INDICATOR ASSY RR RH,18,19571.4,1087.3
JL401005,INDICATOR ASSY FR LH,9,10607.4,1178.6
AA101708,NEEDLE ROLLER BEARING 14X22X16,89,62789.5,705.5
BB121029,FLAP AIR INTAKE,106,11437.4,107.9
JA581223,MIXING CAP ASSEMBLY,18,8217,456.5
JG571024,MESH OIL FILTER ASSY_G2,9,3361.5,373.5
AA191083,GEAR CABLE ASSY COMP BLACK,1,1286.5,1286.5
AA191082,GEAR CABLE ASSY COMP WHITE,4,3950.8,987.7
36JG0011,KIT STEERING HEAD BEARING,50,114125,2282.5
DK181020,OIL SEAL STOPPER,20,498,24.9
JG591070,GASKET EXHAUST,20,3984,199.2
AL201119,HEAD LIGHT LH  (SYM HS1),1,3187.2,3187.2
AM191005,CABLE INNER SPEEDO RE205D,45,11952,265.6
AN101127,CRANKCASE CLUTCH SIDE,4,63611.2,15902.8
JL122001,ADJUSTER CHAIN LH,1,365.2,365.2
JL403600,MAGNET HOLDER,3,622.5,207.5
JZ401403,SWITCH CLUTCH (VB) DIODE,4,1958.8,489.7
52JD0175,FR NO. PLATE SUBASSLY WO FR PLATE EXP JD,2,1162,581
JZ131818,DISC BRAKE - 200 MM,9,45492.3,5054.7
JZ73065J,FR FENDER PNTD MID NIGHT BLACK (D 102),1,4150,4150
AA161265,ASSEMBLY PLATE ELECTRICAL REAR FL,2,2241,1120.5
JG561011,DRUM COMPLETE GEAR SHIFT,1,1041.65,1041.65
36BA4009,KIT STEERING CONE FOR RE-205 4S,7,19870.2,2838.6
AN101113,NUT -DOMED CAP,4,265.6,66.4
AA101665,BRACKET FIX END CABLE GUIDE,5,207.5,41.5
JG561200,LEVER GEAR SHIFT ASSY COMP.,2,3635.4,1817.7
JL113000,STEP ASSLY MAIN LH,1,987.7,987.7
JL401012,HEAD LAMP ASSY (55/60W),18,267244.8,14847
JL403000,INTERLOCK RELAY,1,630.8,630.8
JL511002,COVER CYLINDER HEAD,1,1709.8,1709.8
JL511011,VALVE EXHAUST,10,9877,987.7
JL511205,ROCKER  ARM SHAFT,13,2158,166
JL521002,GASKET CYLINDER BLOCK,15,5727,381.8
JL541207,GASKET CLUTCH COVER,13,3884.4,298.8
JL541208,GASKET MAGNETO COVER,20,5976,298.8
JL581009,FILTER ELEMENT,10,15355,1535.5
JK131037,WHEEL FR 1.4X17 DIA 110 BLK,1,13811.2,13811.2
PF551003,SHAFT OUTPUT BM150 4 SPD,4,4614.8,1153.7
PF551202,GEAR 4TH DRIVE BM150 4 SPD,2,2174.6,1087.3
PF551204,GEAR 3RD DRIVEN BM150 4 SPD,3,5253.9,1751.3
24231615,JOINT PLATE LH REFL,1,83,83
24201499,LENS TAIL LIGHT RH REFL,16,8897.6,556.1
24201477,LENS TAIL LIGHT LH REFL,5,2905,581
24201487,ASSEMBLY SIDE INDICATOR FRONT LH,7,10167.5,1452.5
24165116,ASSEMBLY STEERING COVER REFL,10,28303,2830.3
24171179,ASSEMBLY TRAILING ARM LH FL,2,22559.4,11279.7
24171180,ASSEMBLY TRAILING ARM  RH FL,4,46380.4,11595.1
JG601007,SPECIAL SHAFT SEAL RING (OIL),2,1328,664
AA101668,COVER FAN,10,11869,1186.9
24201473,ASSEMBLY TAIL LIGHT RH REFL,5,13695,2739
JZ401039,INDICATOR REAR RH,14,15106,1079
36JE0022,KIT O-RING & GASKET,3,1543.8,514.6
JL113014,STEP PILLION ASSY COMPLETE LH,7,4473.7,639.1
JL113027,FLAP PILLON HOLDER RH,3,1145.4,381.8
JL113034,HOLDER STEP LH,1,2365.5,2365.5
36JE0020,KIT TOP CAP,4,1394.4,348.6
JZ231601,MIRROR ASSEMBLY RH,13,16292.9,1253.3
JZ151084,NUT STEERING,2,913,456.5
JL151004,FORK PIPE SPINNING,1,5685.5,5685.5
JL151026,HOLDER HANDLE LH,1,4598.2,4598.2
JL151030,HOLDER HANDLE RH,1,3635.4,3635.4
JL161001,BRAKE  PEDAL,4,6440.8,1610.2
JL161200,CABLE CLUTCH,28,31678.1,1131
36JZ0098,KIT BOSS KICK SET-D102C,2,2938.2,1469.1
JL511222,CHAIN SILENT,10,23566.4,2357
JG541015,NEEDLE BEARING HK 1514 RS,5,1826,365.2
AA191091,CABLE ACCELERATOR COMPLETE,25,21677,867
AA191093,CABLE GEAR BLACK COMPLETE,85,84660,996
AA191094,CABLE GEAR WHITE COMPLETE,24,22908,954.5
AA201250,HARNESS WIRING FR 205D PET FL,3,25149,8383
AN101129,GASKET CENTRAL,51,26667.9,522.9
AN101149,GASKET HEAD,30,20160,672
AN101186,"GASKET, CLUTCH COVER",60,28014,467
AN101155,SPROCKET CRANKSHAFT,44,25929.2,589.3
AN101157,FAN,12,6274.8,522.9
JG541074,OIL NOZZLE,5,954.5,190.9
JG601211,CAP EXPANSION TANK,2,204,102
JL561404,ASSEMBLY LEVER CHANGE ARM,3,2116.5,705.5
JL561405,ROD TIE,1,166,166
AN101342,PINION PRIMARY,2,2440.2,1220.1
AN121201,MANIFOLD INTAKE,3,1294.8,431.6
AN121205,COOLER -OIL,3,19944.9,6648.3
AZ351207,PLUG SPARK,100,37600,376
24221033,"EMBLEM PETROL
",11,794.7,72
24221034,EMBLEM BAJAJ RE LOGO,4,1726.4,431.6
AA101779,GEAR MULTIPLE,6,13993.8,2332.3
AA101781,GEAR SPEED - 3RD,3,7968,2656
AA101782,GEAR SPEED - 4TH,2,5046.4,2523.2
DP121059,O RING,5,3112.5,622.5
JN402000,RR UNIT WITH CAPACITOR,13,36038.6,2772.2
JZ531006,GEAR PRIMARY DRIVE,3,1033.35,344.45
PF161208,CABLE - SPEEDO METER,2,1377.8,688.9
PF161211,CABLE THROTTLE,5,2656,531.2
PF161212,CABLE CLUTCH,13,12408.5,954.5
JL181008,WINDSHIELD ASSEMBLY,11,10864.7,987.7
JZ161011,SHAFT ASSLY BRAKE LEVER,5,1245,249
JZ591095,SHIELD MUFFLER DISCO-11,2,2573,1286.5
DH101795,CLUTCH LIFTER BEARING,90,53037,589.3
JG571014,OIL FILTER,60,34362,572.7
JU551406,CLUTCH CENTER_G2,2,2805.4,1402.7
AN101166,GUIDE CHAIN,80,17685,221
AA101814,COLLAR CAMSHAFT,4,531.2,132.8
JL561409,BOLT GEAR CHANGE LEVER,6,1095.6,182.6
JZ181299,BRACKET NO. PLATE MTG,5,4482,896.4
JZ131810,BRAKE ROD,3,846.6,282.2
AA161215,DASHBOARD PLASTIC REFL,3,13545.6,4515.2
AA161216,COVER SPEEDOMETER REFL,1,481.4,481.4
AA191102,SPEEDOMETER CABLE,15,14566.5,971.1
36AA4028,KIT Ignition switch (AA201254) with key,14,22659,1618.5
36AN0010,CYLINDER BLOCK AND PISTON (3W RE),34,276165,8123
AA101734,BUSH SINTERED-REV.LEVER,50,3320,66.4
DK171006,SLEEVE FOR SWING ARM,15,5976,398.4
JW151005,OUTER TUBE LH,1,2257.6,2257.6
JZ131213,WHEEL 1.6X17 DRUM BLACK,1,13288.3,13288.3
JD171600,FUEL TANK CAP,2,6490.6,3245.3
JD551000,SHAFT INPUT T/M,7,13827.8,1975.4
JD551002,SHAFT OUTPUT T/M,10,13944,1394.4
DU74013L,FAIRING JB GREY DCL,3,3510.9,1170.3
36DV0007,KIT STEERING CONE ( NEW ),30,63495,2116.5
AN111015,SPARK PLUG CAP,39,11172,286
DK111011,CAP SPARK PLUG,5,1400,280
JL561401,LEVER COMPLETE CHANGE,3,2490,830
AA231209,LABEL RE 205,10,1660,166
DK151024,DISC REAR,1,5768.5,5768.5
DK151031,ASSEMBLY MASTER CYLINDER REAR,5,22000,4400
DK151045,REAR MASTER CYLINDER CAP,2,199.2,99.6
DK111072,DC CDI UNIT,3,21538.5,7179.5
24121652,FUEL FILTER,10,1826,182.6
24141140,PIPE FUEL-COCK TO FILTER,5,207.5,41.5
AA101588,GEAR MULTIPLE,39,106173.6,2722.4
AA101597,BRKT. OIL COOLER,22,4382.4,199.2
AA101598,CLUTCH COMP,84,618691.8,7365
AA101602,PRIMARY PINION,8,11221.6,1402.7
AA101614,COVER DIFFERENTIAL,4,17230.8,4307.7
AA101628,BRACKET FOR OIL COOL PIPE MTG,25,1867.5,74.7
AA131049,GASKET -DIFFERENTIAL COVER,55,22375,407
JC101115,ASSLY GEAR STARTER COUNTER (14T),2,3403,1701.5
JC201018,CONTROL SWITCH RH-SEALED COUPLER,2,8698.4,4349.2
JC201039,SIDE STAND SWITCH ASSY,1,647.4,647.4
36PA0013,KIT IDLING SCREW DISCO-M,5,1743,348.6
DK201050,INDICATOR-FRONT LH,31,37051.2,1195.2
36JK0031,KIT BLOCK PISTON ASSLY BM125,6,54000,9000
36DK0074,KIT PLATE FRICTION UG4-3 ( DK101566 ),3,8739.9,2913.3
24181074,ASSEMBLY GEAR CONTROL TUBE,5,4067,813.4
JD402402,SPEEDO TOP COVER & GASKET,7,6681.5,954.5
JD551206,GEAR 3rd DRIVE,7,9528.4,1361.2
JD551207,GEAR 4th DRIVE,15,14442,962.8
JD561204,SPRING (INHIBITOR),12,796.8,66.4
JD621001,SHAFT KICK,22,24651,1120.5
JP351007,STATOR ASSY-KS- SEALED COUPLER,0,0,5328.6
24231499,Side panel cover,6,4980,830
52DH0153,S/F COVER STARTER MOTOR,1,70.55,70.55
JZ551415,SPRING CLUTCH  DISCO-125,25,1037.5,41.5
JZ351206,CDI  DISCO-125,8,53053.6,6631.7
JZ402403,SPEEDOMETER ASSLY,5,35214.9,7043
JZ551010,SHAFT INPUT W/O GUN HOLE,3,2016.9,672.3
52DK0167,STEP HOLDER LH (K3) SHEEN BLK PAINTED,1,1842.6,1842.6
DJ191070,SPEEDOMETER ASSLY FOR EXPORT,0,0,15836.4
JC191019,CABLE THROTTLE,5,3361.5,672.3
JC201040,DC BCU WITH SEALED COUPLER,1,9320.9,9320.9
AA121142,CARBURETTOR ASSY.(EXPORT),5,24443.5,4888.7
AF191007,CABLE CHOKE COMPLETE,30,27141,904.7
DJ101215,PIPE INTAKE,2,1162,581
DJ121041,CARBURETTOR ASSEMBLY,1,14010.4,14010.4
DK101097,DAMPER AXIAL ( RUBBER ),10,1577,157.7
DK141013,ROTOR PETROL TANK CAP,1,838.3,838.3
JN131211,AXLE REAR,2,2290.8,1145.4
JZ401012,HEADLAMP WITHOUT BULB & HARNESS,2,14956.6,7478.3
DK161217,GRAB HANDLE LH BLACK,4,5523.3,1381
DK161218,GRAB HANDLE RH BLACK,5,6496,1299
DK181060,HANDLE HOLDER BLACK (LH),1,1975.4,1975.4
DK181062,HOLDER HANDLE RH BLACK,5,10458,2091.6
JV511012,GASKET CYLINDER HEAD COVER,30,22005,734
36JE0004,KIT SET DRIVE AND DRIVEN SPRINT,2,12599.4,6299.7
36JE0012,KIT CYL BLK PST ASLY SPRINT,10,87120,8712
36JE0014,KIT CHAIN SPROCKET O RING TYPE (SERVICABLE KIT PART NUMBER - 36JE0007),79,409812.5,5187.5
52JN0136,TAPPET COVER WITH O-RING,27,5826.6,215.8
AL161385,TRIM UPPER,2,3037.8,1518.9
24101205,FAN COVER,16,8366.4,522.9
36JZ0037,KIT FRICTION PLATE DISCO 125,22,31407.2,1427.6
DK201051,INDICATOR-FRONT RH,19,20658.7,1087.3
DZ141076,CAP FUEL TANK,15,4731,315.4
DK73042V,FR FENDER UG4 C WINE RED FOR SPD,1,4216.4,4216.4
36JZ0004,KIT VALVE REPAIR,1,1128.8,1128.8
36JZ0007,KIT CHAIN SPROCKET,19,69680.5,3667
36JZ0008,KIT STARTER CLUTCH REPAIR,20,10458,522.9
JV551000,SPROCKET OUTPUT (15T),22,13695,622.5
JD113027,HOLDER STEP RH (PULSAR PEG),3,14267.7,4755.9
JD113032,ASSEMBLY MAIN STEP RH PULSAR PEG,9,8441.1,937.9
JW151007,OUTER TUBE RH,1,2324,2324
JW181202,WIND SHIELD,1,1635.1,1635.1
JZ551004,SPROCKET OUTPUT 14T DISCO-H - (SERVICABLE KIT PART NUMBER - 36JZ0007),6,4083.6,680.6
PA121005,OUTER TUBE LH WITH GUIDE BUSH,1,3992.3,3992.3
DK151088,PISTON KIT,14,14292.6,1020.9
JB581271,INSULATOR PTE-16 DISCO-M,6,448.2,74.7
JB581404,MANIFOLD PTE16 DISCO-M,1,730.4,730.4
36JZ0001,KIT VALVE DISCO H,135,221845.2,1643
36JZ0002,KIT BLK/PST ASLY DISCO H,13,130609,10047
JE351203,H. T. COIL WITH CABLE & CAP - LH,3,4008.9,1336.3
JE551405,PLATE CLUTCH LIFTER FCC,12,4980,415
DK161071,FAIRING AIR INTAKE RH,7,1684.9,240.7
CM191049,SPRING CLIP,50,1245,24.9
52JZ0050,PANEL SIDE RH BLACK + BLUE DIS 150,1,2606.2,2606.2
52JZ0051,PANEL SIDE LH BLACK + BLUE DIS 150,2,4963.4,2481.7
52JZ0054,COWLING BLACK  BLUE DIS 150,5,25439.5,5087.9
DH201076,DC HORN LH,10,10541,1054.1
DH201077,DC HORN RH,10,10375,1037.5
DK151069,BANJO BOLT,7,1045.8,149.4
DK151012,SEAL_OIL COUPLING 47X28X7,4,597.6,149.4
DK171003,SHAFT SWING ARM,6,4631.4,771.9
DK171014,REAR SHOCK ABS ASLY,2,12184.4,6092.2
DK181019,OIL SEAL,60,29160,486
DK181021,INNER DUST SEAL,14,3602.2,257.3
DK181024,UNDER BKT SUB ASSLY,6,36850.8,6142
DK181027,UPPER BKT,2,10856.4,5428.2
DK181070,FORK FORK PIPE SPINNING,10,56440,5644
JD122009,SWING ARM ASSEMBLY COMPLETE,2,18675,9337.5
JD141003,CHAIN LINK LOCK SET,17,1975.4,116.2
JM171004,CAP CHAIN ADJUSTER,15,1440,96
39193120,BEARING - BALL :- 28 X 68 X 18,35,57200,1634
59050002,STUD M10 ( BOLT STUD CYLINDER),6,2888.4,481.4
AP121064,CLAMP,6,697.2,116.2
DH101373,SCISSOR BALANCER IDLER - NYLON,52,25464.4,489.7
DJ161132,HOOK - HARNESS :- LH,2,116.2,58.1
DG171019,SEAL - OIL,35,4067,116.2
DJ101391,SILENCERDJUG4  W/O SHIELD(SPARE),1,21613.2,21613.2
